X,Y,Z,Label
0.0,0.0,500.079,CL
0.2,-0.021,500.082,CL
0.4,-0.042,500.086,CL
0.6,-0.063,500.089,CL
0.8,-0.084,500.092,CL
1.0,-0.105,500.095,CL
1.2,-0.126,500.099,CL
1.4,-0.147,500.102,CL
1.6,-0.168,500.105,CL
1.8,-0.189,500.108,CL
2.0,-0.21,500.111,CL
2.2,-0.23,500.114,CL
2.4,-0.251,500.117,CL
2.6,-0.272,500.12,CL
2.8,-0.293,500.123,CL
3.0,-0.314,500.126,CL
3.2,-0.335,500.129,CL
3.4,-0.356,500.133,CL
3.6,-0.376,500.134,CL
3.8,-0.397,500.137,CL
4.0,-0.418,500.139,CL
4.2,-0.439,500.142,CL
4.4,-0.459,500.144,CL
4.6,-0.48,500.146,CL
4.8,-0.501,500.149,CL
5.0,-0.522,500.151,CL
5.2,-0.542,500.153,CL
5.4,-0.563,500.155,CL
5.6,-0.583,500.157,CL
5.8,-0.604,500.159,CL
6.0,-0.624,500.16,CL
6.2,-0.645,500.162,CL
6.4,-0.665,500.163,CL
6.6,-0.686,500.165,CL
6.8,-0.706,500.166,CL
7.0,-0.727,500.167,CL
7.2,-0.747,500.168,CL
7.4,-0.767,500.169,CL
7.6,-0.787,500.17,CL
7.8,-0.808,500.171,CL
8.0,-0.828,500.171,CL
8.2,-0.848,500.172,CL
8.4,-0.868,500.172,CL
8.6,-0.888,500.172,CL
8.8,-0.908,500.172,CL
9.0,-0.928,500.172,CL
9.2,-0.948,500.171,CL
9.4,-0.968,500.171,CL
9.6,-0.988,500.17,CL
9.8,-1.007,500.17,CL
10.0,-1.027,500.169,CL
10.2,-1.047,500.168,CL
10.4,-1.066,500.166,CL
10.6,-1.086,500.165,CL
10.8,-1.106,500.164,CL
11.0,-1.125,500.162,CL
11.2,-1.144,500.16,CL
11.4,-1.164,500.158,CL
11.6,-1.183,500.156,CL
11.8,-1.202,500.154,CL
12.0,-1.221,500.151,CL
12.2,-1.241,500.148,CL
12.4,-1.26,500.146,CL
12.6,-1.279,500.143,CL
12.8,-1.298,500.139,CL
13.0,-1.316,500.136,CL
13.2,-1.335,500.133,CL
13.4,-1.354,500.129,CL
13.6,-1.373,500.125,CL
13.8,-1.391,500.121,CL
14.0,-1.41,500.117,CL
14.2,-1.428,500.113,CL
14.4,-1.447,500.108,CL
14.6,-1.465,500.104,CL
14.8,-1.483,500.099,CL
15.0,-1.502,500.094,CL
15.2,-1.52,500.089,CL
15.4,-1.538,500.084,CL
15.6,-1.556,500.078,CL
15.8,-1.574,500.072,CL
16.0,-1.591,500.067,CL
16.2,-1.609,500.061,CL
16.4,-1.627,500.055,CL
16.6,-1.644,500.048,CL
16.8,-1.662,500.042,CL
17.0,-1.679,500.035,CL
17.2,-1.697,500.029,CL
17.4,-1.714,500.022,CL
17.6,-1.731,500.015,CL
17.8,-1.748,500.008,CL
18.0,-1.765,500.001,CL
18.2,-1.782,499.993,CL
18.4,-1.799,499.986,CL
18.6,-1.816,499.978,CL
18.8,-1.832,499.97,CL
19.0,-1.849,499.963,CL
19.2,-1.865,499.955,CL
19.4,-1.882,499.946,CL
19.6,-1.898,499.938,CL
19.8,-1.914,499.93,CL
20.0,-1.93,499.921,CL
20.2,-1.946,499.913,CL
20.4,-1.962,499.904,CL
20.6,-1.978,499.896,CL
20.8,-1.994,499.887,CL
21.0,-2.009,499.878,CL
21.2,-2.025,499.869,CL
21.4,-2.04,499.86,CL
21.6,-2.055,499.851,CL
21.8,-2.071,499.841,CL
22.0,-2.086,499.832,CL
22.2,-2.101,499.823,CL
22.4,-2.116,499.813,CL
22.6,-2.131,499.804,CL
22.8,-2.145,499.794,CL
23.0,-2.16,499.785,CL
23.2,-2.174,499.775,CL
23.4,-2.189,499.765,CL
23.6,-2.203,499.755,CL
23.8,-2.217,499.746,CL
24.0,-2.231,499.736,CL
24.2,-2.245,499.726,CL
24.4,-2.259,499.716,CL
24.6,-2.273,499.706,CL
24.8,-2.286,499.696,CL
25.0,-2.3,499.687,CL
25.2,-2.313,499.677,CL
25.4,-2.327,499.667,CL
25.6,-2.34,499.657,CL
25.8,-2.353,499.647,CL
26.0,-2.366,499.637,CL
26.2,-2.379,499.627,CL
26.4,-2.391,499.617,CL
26.6,-2.404,499.608,CL
26.8,-2.417,499.598,CL
27.0,-2.429,499.588,CL
27.2,-2.441,499.578,CL
27.4,-2.453,499.569,CL
27.6,-2.465,499.559,CL
27.8,-2.477,499.549,CL
28.0,-2.489,499.54,CL
28.2,-2.501,499.53,CL
28.4,-2.512,499.521,CL
28.6,-2.524,499.512,CL
28.8,-2.535,499.502,CL
29.0,-2.546,499.493,CL
