X,Y,Z,Label
0.0,0.0,500.0,CL
0.2,0.098,499.978,CL
0.4,0.196,499.957,CL
0.6,0.294,499.935,CL
0.8,0.392,499.913,CL
1.0,0.49,499.891,CL
1.2,0.588,499.87,CL
1.4,0.686,499.848,CL
1.6,0.783,499.826,CL
1.8,0.88,499.804,CL
2.0,0.977,499.783,CL
2.2,1.074,499.761,CL
2.4,1.171,499.739,CL
2.6,1.267,499.718,CL
2.8,1.362,499.696,CL
3.0,1.458,499.674,CL
3.2,1.553,499.652,CL
3.4,1.648,499.631,CL
3.6,1.742,499.609,CL
3.8,1.835,499.587,CL
4.0,1.929,499.566,CL
4.2,2.021,499.544,CL
4.4,2.114,499.522,CL
4.6,2.205,499.501,CL
4.8,2.296,499.479,CL
5.0,2.386,499.457,CL
5.2,2.476,499.436,CL
5.4,2.565,499.414,CL
5.6,2.654,499.392,CL
5.8,2.741,499.371,CL
6.0,2.828,499.349,CL
6.2,2.915,499.327,CL
6.4,3.0,499.306,CL
6.6,3.085,499.284,CL
6.8,3.168,499.262,CL
7.0,3.251,499.241,CL
7.2,3.333,499.219,CL
7.4,3.415,499.198,CL
7.6,3.495,499.176,CL
7.8,3.574,499.154,CL
8.0,3.653,499.133,CL
8.2,3.73,499.111,CL
8.4,3.806,499.09,CL
8.6,3.882,499.068,CL
8.8,3.956,499.046,CL
9.0,4.029,499.025,CL
9.2,4.102,499.003,CL
9.4,4.173,498.982,CL
9.6,4.243,498.96,CL
9.8,4.311,498.939,CL
10.0,4.379,498.917,CL
10.2,4.446,498.896,CL
10.4,4.511,498.874,CL
10.6,4.575,498.853,CL
10.8,4.638,498.831,CL
11.0,4.7,498.81,CL
11.2,4.76,498.788,CL
11.4,4.819,498.767,CL
11.6,4.877,498.745,CL
11.8,4.934,498.724,CL
12.0,4.989,498.702,CL
12.2,5.043,498.681,CL
12.4,5.095,498.659,CL
12.6,5.146,498.638,CL
12.8,5.196,498.616,CL
13.0,5.245,498.595,CL
13.2,5.292,498.574,CL
13.4,5.337,498.552,CL
13.6,5.381,498.531,CL
13.8,5.424,498.509,CL
14.0,5.465,498.488,CL
14.2,5.505,498.466,CL
14.4,5.543,498.445,CL
14.6,5.58,498.424,CL
14.8,5.615,498.402,CL
15.0,5.649,498.381,CL
15.2,5.682,498.36,CL
15.4,5.712,498.338,CL
15.6,5.742,498.317,CL
15.8,5.769,498.295,CL
16.0,5.796,498.274,CL
16.2,5.82,498.253,CL
16.4,5.843,498.231,CL
16.6,5.865,498.21,CL
16.8,5.885,498.189,CL
17.0,5.903,498.167,CL
17.2,5.92,498.146,CL
17.4,5.935,498.125,CL
17.6,5.949,498.103,CL
17.8,5.961,498.082,CL
18.0,5.971,498.06,CL
18.2,5.98,498.039,CL
18.4,5.987,498.018,CL
18.6,5.993,497.996,CL
18.8,5.997,497.975,CL
19.0,5.999,497.954,CL
19.2,6.0,497.932,CL
19.4,5.999,497.911,CL
19.6,5.997,497.89,CL
19.8,5.993,497.868,CL
20.0,5.987,497.847,CL
20.2,5.98,497.826,CL
20.4,5.971,497.804,CL
20.6,5.961,497.783,CL
20.8,5.949,497.762,CL
21.0,5.935,497.74,CL
21.2,5.92,497.719,CL
21.4,5.903,497.698,CL
21.6,5.885,497.676,CL
21.8,5.865,497.655,CL
22.0,5.843,497.634,CL
22.2,5.82,497.612,CL
22.4,5.796,497.591,CL
22.6,5.769,497.569,CL
22.8,5.742,497.548,CL
23.0,5.712,497.527,CL
23.2,5.682,497.505,CL
23.4,5.649,497.484,CL
23.6,5.615,497.463,CL
23.8,5.58,497.441,CL
24.0,5.543,497.42,CL
24.2,5.505,497.398,CL
24.4,5.465,497.377,CL
24.6,5.424,497.356,CL
24.8,5.381,497.334,CL
25.0,5.337,497.313,CL
25.2,5.292,497.291,CL
25.4,5.245,497.27,CL
25.6,5.196,497.248,CL
25.8,5.146,497.227,CL
26.0,5.095,497.205,CL
26.2,5.043,497.184,CL
26.4,4.989,497.163,CL
26.6,4.934,497.141,CL
26.8,4.877,497.12,CL
27.0,4.819,497.098,CL
27.2,4.76,497.077,CL
27.4,4.7,497.055,CL
27.6,4.638,497.034,CL
27.8,4.575,497.012,CL
28.0,4.511,496.991,CL
28.2,4.446,496.969,CL
28.4,4.379,496.948,CL
28.6,4.311,496.926,CL
28.8,4.243,496.905,CL
29.0,4.173,496.883,CL
29.2,4.102,496.861,CL
29.4,4.029,496.84,CL
29.6,3.956,496.818,CL
29.8,3.882,496.797,CL
30.0,3.806,496.775,CL
30.2,3.73,496.754,CL
30.4,3.653,496.732,CL
30.6,3.574,496.71,CL
30.8,3.495,496.689,CL
31.0,3.415,496.667,CL
31.2,3.333,496.646,CL
31.4,3.251,496.624,CL
31.6,3.168,496.602,CL
31.8,3.085,496.581,CL
32.0,3.0,496.559,CL
32.2,2.915,496.537,CL
32.4,2.828,496.516,CL
32.6,2.741,496.494,CL
32.8,2.654,496.473,CL
33.0,2.565,496.451,CL
33.2,2.476,496.429,CL
33.4,2.386,496.408,CL
33.6,2.296,496.386,CL
33.8,2.205,496.364,CL
34.0,2.114,496.343,CL
34.2,2.021,496.321,CL
34.4,1.929,496.299,CL
34.6,1.835,496.277,CL
34.8,1.742,496.256,CL
35.0,1.648,496.234,CL
35.2,1.553,496.212,CL
35.4,1.458,496.191,CL
35.6,1.362,496.169,CL
35.8,1.267,496.147,CL
36.0,1.171,496.126,CL
36.2,1.074,496.104,CL
36.4,0.977,496.082,CL
36.6,0.88,496.06,CL
36.8,0.783,496.039,CL
37.0,0.686,496.017,CL
37.2,0.588,495.995,CL
37.4,0.49,495.973,CL
37.6,0.392,495.952,CL
37.8,0.294,495.93,CL
38.0,0.196,495.908,CL
38.2,0.098,495.887,CL
38.4,0.0,495.865,CL
38.6,-0.098,495.843,CL
38.8,-0.196,495.821,CL
39.0,-0.294,495.8,CL
39.2,-0.392,495.778,CL
39.4,-0.49,495.756,CL
39.6,-0.588,495.734,CL
39.8,-0.686,495.713,CL
40.0,-0.783,495.691,CL
40.2,-0.88,495.669,CL
40.4,-0.977,495.648,CL
40.6,-1.074,495.626,CL
40.8,-1.171,495.604,CL
41.0,-1.267,495.582,CL
41.2,-1.362,495.561,CL
41.4,-1.458,495.539,CL
41.6,-1.553,495.517,CL
41.8,-1.648,495.496,CL
42.0,-1.742,495.474,CL
42.2,-1.835,495.452,CL
42.4,-1.929,495.431,CL
42.6,-2.021,495.409,CL
42.8,-2.114,495.387,CL
43.0,-2.205,495.365,CL
43.2,-2.296,495.344,CL
43.4,-2.386,495.322,CL
43.6,-2.476,495.3,CL
43.8,-2.565,495.279,CL
44.0,-2.654,495.257,CL
44.2,-2.741,495.235,CL
44.4,-2.828,495.214,CL
44.6,-2.915,495.192,CL
44.8,-3.0,495.171,CL
45.0,-3.085,495.149,CL
45.2,-3.168,495.127,CL
45.4,-3.251,495.106,CL
45.6,-3.333,495.084,CL
45.8,-3.415,495.062,CL
46.0,-3.495,495.041,CL
46.2,-3.574,495.019,CL
46.4,-3.653,494.998,CL
46.6,-3.73,494.976,CL
46.8,-3.806,494.954,CL
47.0,-3.882,494.933,CL
47.2,-3.956,494.911,CL
47.4,-4.029,494.89,CL
47.6,-4.102,494.868,CL
47.8,-4.173,494.847,CL
48.0,-4.243,494.825,CL
48.2,-4.311,494.804,CL
48.4,-4.379,494.782,CL
48.6,-4.446,494.761,CL
48.8,-4.511,494.739,CL
49.0,-4.575,494.717,CL
49.2,-4.638,494.696,CL
49.4,-4.7,494.674,CL
49.6,-4.76,494.653,CL
49.8,-4.819,494.632,CL
50.0,-4.877,494.61,CL
50.2,-4.934,494.589,CL
50.4,-4.989,494.567,CL
50.6,-5.043,494.546,CL
50.8,-5.095,494.524,CL
51.0,-5.146,494.503,CL
51.2,-5.196,494.481,CL
51.4,-5.245,494.46,CL
51.6,-5.292,494.438,CL
51.8,-5.337,494.417,CL
52.0,-5.381,494.396,CL
52.2,-5.424,494.374,CL
52.4,-5.465,494.353,CL
52.6,-5.505,494.331,CL
52.8,-5.543,494.31,CL
53.0,-5.58,494.289,CL
53.2,-5.615,494.267,CL
53.4,-5.649,494.246,CL
53.6,-5.682,494.224,CL
53.8,-5.712,494.203,CL
54.0,-5.742,494.182,CL
54.2,-5.769,494.16,CL
54.4,-5.796,494.139,CL
54.6,-5.82,494.117,CL
54.8,-5.843,494.096,CL
55.0,-5.865,494.075,CL
55.2,-5.885,494.053,CL
55.4,-5.903,494.032,CL
55.6,-5.92,494.011,CL
55.8,-5.935,493.989,CL
56.0,-5.949,493.968,CL
56.2,-5.961,493.947,CL
56.4,-5.971,493.925,CL
56.6,-5.98,493.904,CL
56.8,-5.987,493.883,CL
57.0,-5.993,493.861,CL
57.2,-5.997,493.84,CL
57.4,-5.999,493.819,CL
57.6,-6.0,493.797,CL
57.8,-5.999,493.776,CL
58.0,-5.997,493.755,CL
58.2,-5.993,493.733,CL
58.4,-5.987,493.712,CL
58.6,-5.98,493.691,CL
58.8,-5.971,493.669,CL
59.0,-5.961,493.648,CL
59.2,-5.949,493.626,CL
59.4,-5.935,493.605,CL
59.6,-5.92,493.584,CL
59.8,-5.903,493.562,CL
60.0,-5.885,493.541,CL
60.2,-5.865,493.52,CL
60.4,-5.843,493.498,CL
60.6,-5.82,493.477,CL
60.8,-5.796,493.456,CL
61.0,-5.769,493.434,CL
61.2,-5.742,493.413,CL
61.4,-5.712,493.392,CL
61.6,-5.682,493.37,CL
61.8,-5.649,493.349,CL
62.0,-5.615,493.327,CL
62.2,-5.58,493.306,CL
62.4,-5.543,493.285,CL
62.6,-5.505,493.263,CL
62.8,-5.465,493.242,CL
63.0,-5.424,493.22,CL
63.2,-5.381,493.199,CL
63.4,-5.337,493.178,CL
63.6,-5.292,493.156,CL
63.8,-5.245,493.135,CL
64.0,-5.196,493.113,CL
64.2,-5.146,493.092,CL
64.4,-5.095,493.07,CL
64.6,-5.043,493.049,CL
64.8,-4.989,493.027,CL
65.0,-4.934,493.006,CL
65.2,-4.877,492.984,CL
65.4,-4.819,492.963,CL
65.6,-4.76,492.941,CL
65.8,-4.7,492.92,CL
66.0,-4.638,492.898,CL
66.2,-4.575,492.877,CL
66.4,-4.511,492.855,CL
66.6,-4.446,492.834,CL
66.8,-4.379,492.812,CL
67.0,-4.311,492.791,CL
67.2,-4.243,492.769,CL
67.4,-4.173,492.748,CL
67.6,-4.102,492.726,CL
67.8,-4.029,492.705,CL
68.0,-3.956,492.683,CL
68.2,-3.882,492.662,CL
68.4,-3.806,492.64,CL
68.6,-3.73,492.618,CL
68.8,-3.653,492.597,CL
69.0,-3.574,492.575,CL
69.2,-3.495,492.554,CL
69.4,-3.415,492.532,CL
69.6,-3.333,492.51,CL
69.8,-3.251,492.489,CL
70.0,-3.168,492.467,CL
70.2,-3.085,492.446,CL
70.4,-3.0,492.424,CL
70.6,-2.915,492.402,CL
70.8,-2.828,492.381,CL
71.0,-2.741,492.359,CL
71.2,-2.654,492.337,CL
71.4,-2.565,492.316,CL
71.6,-2.476,492.294,CL
71.8,-2.386,492.272,CL
72.0,-2.296,492.251,CL
72.2,-2.205,492.229,CL
72.4,-2.114,492.207,CL
72.6,-2.021,492.186,CL
72.8,-1.929,492.164,CL
73.0,-1.835,492.142,CL
73.2,-1.742,492.121,CL
73.4,-1.648,492.099,CL
73.6,-1.553,492.077,CL
73.8,-1.458,492.055,CL
74.0,-1.362,492.034,CL
74.2,-1.267,492.012,CL
74.4,-1.171,491.99,CL
74.6,-1.074,491.969,CL
74.8,-0.977,491.947,CL
75.0,-0.88,491.925,CL
75.2,-0.783,491.903,CL
75.4,-0.686,491.882,CL
75.6,-0.588,491.86,CL
75.8,-0.49,491.838,CL
76.0,-0.392,491.817,CL
76.2,-0.294,491.795,CL
76.4,-0.196,491.773,CL
76.6,-0.098,491.751,CL
76.8,-0.0,491.751,CL
-1.4,2.6,500.852,XS
-1.4,2.8,500.754,XS
-1.2,2.2,500.634,XS
-1.2,2.4,500.579,XS
-1.2,2.6,500.62,XS
-1.2,2.8,500.736,XS
-1.0,2.0,500.486,XS
-1.0,2.2,500.491,XS
-1.0,2.4,500.552,XS
-1.0,2.6,500.584,XS
-1.0,2.8,500.478,XS
-1.0,3.0,500.624,XS
-0.8,1.4,500.041,XS
-0.8,1.6,500.133,XS
-0.8,1.8,500.287,XS
-0.8,2.0,500.618,XS
-0.8,2.2,500.436,XS
-0.8,2.4,500.486,XS
-0.8,2.6,500.419,XS
-0.8,2.8,500.47,XS
-0.8,3.0,500.511,XS
-0.8,3.2,500.551,XS
-0.6,1.0,499.865,XS
-0.6,1.2,499.911,XS
-0.6,1.4,499.957,XS
-0.6,1.6,500.088,XS
-0.6,1.8,500.139,XS
-0.6,2.0,500.254,XS
-0.6,2.2,500.35,XS
-0.6,2.4,500.322,XS
-0.6,2.6,500.379,XS
-0.6,2.8,500.436,XS
-0.6,3.0,500.377,XS
-0.6,3.2,500.583,XS
-0.4,0.8,499.769,XS
-0.4,1.0,499.854,XS
-0.4,1.2,499.887,XS
-0.4,1.4,499.99,XS
-0.4,1.6,500.06,XS
-0.4,1.8,500.118,XS
-0.4,2.0,500.205,XS
-0.4,2.2,500.237,XS
-0.4,2.4,500.258,XS
-0.4,2.6,500.31,XS
-0.4,2.8,500.285,XS
-0.4,3.0,500.4,XS
-0.4,3.2,500.625,XS
-0.2,0.4,499.61,XS
-0.2,0.6,499.722,XS
-0.2,0.8,499.798,XS
-0.2,1.0,499.845,XS
-0.2,1.2,499.964,XS
-0.2,1.4,500.034,XS
-0.2,1.6,500.039,XS
-0.2,1.8,500.097,XS
-0.2,2.0,500.065,XS
-0.2,2.2,500.111,XS
-0.2,2.4,500.175,XS
-0.2,2.6,500.16,XS
-0.2,2.8,500.271,XS
-0.2,3.0,500.4,XS
-0.2,3.2,500.417,XS
-0.2,3.4,500.702,XS
0.0,0.0,499.56,XS
0.0,0.2,499.593,XS
0.0,0.4,499.654,XS
0.0,0.6,499.754,XS
0.0,0.8,499.821,XS
0.0,1.0,499.929,XS
0.0,1.2,500.033,XS
0.0,1.4,500.047,XS
0.0,1.6,500.09,XS
0.0,1.8,500.076,XS
0.0,2.0,500.046,XS
0.0,2.2,500.069,XS
0.0,2.4,500.078,XS
0.0,2.6,500.123,XS
0.0,2.8,500.237,XS
0.0,3.0,500.283,XS
0.0,3.2,500.466,XS
0.0,3.4,500.646,XS
0.0,3.6,500.807,XS
0.0,-0.2,499.551,XS
0.2,0.0,499.605,XS
0.2,0.2,499.613,XS
0.2,0.4,499.683,XS
0.2,0.6,499.75,XS
0.2,0.8,499.883,XS
0.2,1.0,499.98,XS
0.2,1.2,500.031,XS
0.2,1.4,500.115,XS
0.2,1.6,500.116,XS
0.2,1.8,500.036,XS
0.2,2.0,500.019,XS
0.2,2.2,499.938,XS
0.2,2.4,499.977,XS
0.2,2.6,500.076,XS
0.2,2.8,500.124,XS
0.2,3.0,500.296,XS
0.2,3.2,500.478,XS
0.2,3.4,500.535,XS
0.2,3.6,500.847,XS
0.2,-0.2,499.639,XS
0.2,-0.6,499.737,XS
0.2,-0.4,499.668,XS
0.4,0.0,499.65,XS
0.4,0.2,499.66,XS
0.4,0.4,499.707,XS
0.4,0.6,499.784,XS
0.4,0.8,499.897,XS
0.4,1.0,499.997,XS
0.4,1.2,500.073,XS
0.4,1.4,500.13,XS
0.4,1.6,500.077,XS
0.4,1.8,500.05,XS
0.4,2.0,499.981,XS
0.4,2.2,499.928,XS
0.4,2.4,499.963,XS
0.4,2.6,500.017,XS
0.4,2.8,500.12,XS
0.4,3.0,500.28,XS
0.4,3.2,500.355,XS
0.4,3.4,500.551,XS
0.4,3.6,500.842,XS
0.4,-0.4,499.769,XS
0.4,-0.8,499.922,XS
0.4,-0.6,499.855,XS
0.4,-0.2,499.699,XS
0.6,0.0,499.697,XS
0.6,0.2,499.667,XS
0.6,0.4,499.688,XS
0.6,0.6,499.771,XS
0.6,0.8,499.846,XS
0.6,1.0,499.96,XS
0.6,1.2,500.059,XS
0.6,1.4,500.06,XS
0.6,1.6,500.082,XS
0.6,1.8,500.031,XS
0.6,2.0,499.922,XS
0.6,2.2,499.905,XS
0.6,2.4,499.939,XS
0.6,2.6,499.946,XS
0.6,2.8,500.098,XS
0.6,3.0,500.176,XS
0.6,3.2,500.355,XS
0.6,3.4,500.522,XS
0.6,3.6,500.539,XS
0.6,3.8,500.797,XS
0.6,-0.4,499.83,XS
0.6,-1.2,500.122,XS
0.6,-1.0,500.058,XS
0.6,-0.8,500.017,XS
0.6,-0.6,499.952,XS
0.6,-0.2,499.735,XS
0.8,0.0,499.72,XS
0.8,0.2,499.676,XS
0.8,0.4,499.699,XS
0.8,0.6,499.76,XS
0.8,0.8,499.846,XS
0.8,1.0,499.96,XS
0.8,1.2,500.037,XS
0.8,1.4,500.061,XS
0.8,1.6,500.063,XS
0.8,1.8,500.002,XS
0.8,2.0,499.927,XS
0.8,2.2,499.888,XS
0.8,2.4,499.837,XS
0.8,2.6,499.948,XS
0.8,2.8,500.051,XS
0.8,3.0,500.175,XS
0.8,3.2,500.327,XS
0.8,3.4,500.438,XS
