,X,Y,Z,Label
0,100.0,100.0,600.0,CL
1,100.2,100.098,599.9780000000001,CL
2,100.4,100.196,599.957,CL
3,100.6,100.294,599.935,CL
4,100.8,100.392,599.913,CL
5,101.0,100.49,599.891,CL
6,101.2,100.588,599.87,CL
7,101.4,100.686,599.848,CL
8,101.6,100.783,599.826,CL
9,101.8,100.88,599.8040000000001,CL
10,102.0,100.977,599.783,CL
11,102.2,101.074,599.761,CL
12,102.4,101.171,599.739,CL
13,102.6,101.267,599.7180000000001,CL
14,102.8,101.362,599.6959999999999,CL
15,103.0,101.458,599.674,CL
16,103.2,101.553,599.652,CL
17,103.4,101.648,599.631,CL
18,103.6,101.742,599.609,CL
19,103.8,101.835,599.587,CL
20,104.0,101.929,599.566,CL
21,104.2,102.021,599.5440000000001,CL
22,104.4,102.114,599.5219999999999,CL
23,104.6,102.205,599.501,CL
24,104.8,102.296,599.479,CL
25,105.0,102.386,599.457,CL
26,105.2,102.476,599.4359999999999,CL
27,105.4,102.565,599.414,CL
28,105.6,102.654,599.392,CL
29,105.8,102.741,599.371,CL
30,106.0,102.828,599.3489999999999,CL
31,106.2,102.915,599.327,CL
32,106.4,103.0,599.306,CL
33,106.6,103.085,599.284,CL
34,106.8,103.168,599.262,CL
35,107.0,103.251,599.241,CL
36,107.2,103.333,599.219,CL
37,107.4,103.415,599.1980000000001,CL
38,107.6,103.495,599.1759999999999,CL
39,107.8,103.574,599.154,CL
40,108.0,103.653,599.133,CL
41,108.2,103.73,599.111,CL
42,108.4,103.806,599.0899999999999,CL
43,108.6,103.882,599.068,CL
44,108.8,103.956,599.046,CL
45,109.0,104.029,599.025,CL
46,109.2,104.102,599.003,CL
47,109.4,104.173,598.982,CL
48,109.6,104.243,598.96,CL
49,109.8,104.311,598.9390000000001,CL
50,110.0,104.379,598.9169999999999,CL
51,110.2,104.446,598.896,CL
52,110.4,104.511,598.874,CL
53,110.6,104.575,598.8530000000001,CL
54,110.8,104.638,598.8309999999999,CL
55,111.0,104.7,598.81,CL
