X,Z
0.0,2082.5
5.0,2077.5
10.0,2072.5
15.0,2067.5
20.0,2062.5
25.0,2057.5
30.0,2052.5
35.0,2047.5
40.0,2042.5
45.0,2037.5
50.0,2032.5
55.0,2027.5
60.0,2022.5
65.0,2017.5
70.0,2012.5
75.0,2007.5
80.0,2002.5
85.0,1997.5
90.0,1992.5
95.0,1987.5
100.0,1982.5
105.0,1977.5
110.0,1972.5
115.0,1967.5
120.0,1962.5
125.0,1957.5
130.0,1952.5
135.0,1947.5
140.0,1942.5
145.0,1937.5
150.0,1932.5
155.0,1927.5
160.0,1922.5
165.0,1917.5
170.0,1912.5
175.0,1907.5
180.0,1902.5
185.0,1897.5
190.0,1892.5
195.0,1887.5
200.0,1882.5
205.0,1877.5
210.0,1872.5
215.0,1867.5
220.0,1862.5
225.0,1857.5
230.0,1852.5
235.0,1847.5
240.0,1842.5
245.0,1837.5
250.0,1832.5
255.0,1827.5
260.0,1822.5
265.0,1817.5
270.0,1812.5
275.0,1807.5
280.0,1802.5
285.0,1797.5
290.0,1792.5
295.0,1787.5
300.0,1781.0
305.0,1776.0
310.0,1771.0
315.0,1766.0
320.0,1761.0
325.0,1756.0
330.0,1751.0
335.0,1746.0
340.0,1741.0
345.0,1736.0
350.0,1731.0
355.0,1726.0
360.0,1721.0
365.0,1716.0
370.0,1711.0
375.0,1706.0
380.0,1701.0
385.0,1696.0
390.0,1691.0
395.0,1686.0
400.0,1681.0
405.0,1676.0
410.0,1671.0
415.0,1666.0
0.0,2082.6
5.0,2082.6
10.0,2082.6
15.0,2082.6
20.0,2082.6
25.0,2082.6
30.0,2082.6
35.0,2082.6
40.0,2082.6
45.0,2082.6
50.0,2082.6
55.0,2082.6
60.0,2082.6
65.0,2082.6
70.0,2082.6
75.0,2082.6
80.0,2082.6
85.0,2082.6
90.0,2082.6
95.0,2082.6
100.0,2082.6
105.0,2082.6
110.0,2082.6
115.0,2082.6
120.0,2082.6
125.0,2082.6
130.0,2082.6
135.0,2082.6
140.0,2082.6
145.0,2082.6
150.0,2082.6
155.0,2082.6
160.0,2082.6
165.0,2082.6
170.0,2082.6
175.0,2082.6
180.0,2082.6
185.0,2082.6
190.0,2082.6
195.0,2082.6
200.0,2082.6
205.0,2082.6
210.0,2082.6
215.0,2082.6
220.0,2082.6
225.0,2082.6
230.0,2082.6
235.0,2082.6
240.0,2082.6
245.0,2082.6
250.0,2082.6
255.0,2082.6
260.0,2082.6
265.0,2082.6
270.0,2082.6
275.0,2082.6
280.0,2082.6
285.0,2082.6
290.0,2082.6
295.0,2082.6
300.0,2082.6
305.0,2082.6
310.0,2082.6
315.0,2082.6
320.0,2082.6
325.0,2082.6
330.0,2082.6
335.0,2082.6
340.0,2082.6
345.0,2082.6
350.0,2082.6
355.0,2082.6
360.0,2082.6
365.0,2082.6
370.0,2082.6
375.0,2082.6
380.0,2082.6
385.0,2082.6
390.0,2082.6
395.0,2082.6
400.0,2082.6
405.0,2082.6
410.0,2082.6
0.0,2082.6
5.0,2082.6
10.0,2082.6
15.0,2082.6
20.0,2082.6
25.0,2082.6
30.0,2082.6
35.0,2082.6
40.0,2082.6
45.0,2082.6
50.0,2082.6
55.0,2082.6
60.0,2082.6
65.0,2082.6
70.0,2082.6
75.0,2082.6
80.0,2082.6
85.0,2082.6
90.0,2082.6
95.0,2082.6
100.0,2082.6
105.0,2082.6
110.0,2082.6
115.0,2082.6
120.0,2082.6
125.0,2082.6
130.0,2082.6
135.0,2082.6
140.0,2082.6
145.0,2082.6
150.0,2082.6
155.0,2082.6
160.0,2082.6
165.0,2082.6
170.0,2082.6
175.0,2082.6
180.0,2082.6
185.0,2082.6
190.0,2082.6
195.0,2082.6
200.0,2082.6
205.0,2082.6
210.0,2082.6
215.0,2082.6
220.0,2082.6
225.0,2082.6
230.0,2082.6
235.0,2082.6
240.0,2082.6
245.0,2082.6
250.0,2082.6
255.0,2082.6
260.0,2082.6
265.0,2082.6
270.0,2082.6
275.0,2082.6
280.0,2082.6
285.0,2082.6
290.0,2082.6
295.0,2082.6
300.0,2082.6
305.0,2082.6
310.0,2082.6
315.0,2082.6
320.0,2082.6
325.0,2082.6
330.0,2082.6
335.0,2082.6
340.0,2082.6
345.0,2082.6
350.0,2082.6
355.0,2082.6
360.0,2082.6
365.0,2082.6
370.0,2082.6
375.0,2082.6
380.0,2082.6
385.0,2082.6
390.0,2082.6
395.0,2082.6
400.0,2082.6
