X,Y,Z,Label
0.0,0.0,2082.5,CL
5.0,0.0,2077.5,CL
10.0,0.0,2072.5,CL
15.0,0.0,2067.5,CL
20.0,0.0,2062.5,CL
25.0,0.0,2057.5,CL
30.0,0.0,2052.5,CL
35.0,0.0,2047.5,CL
40.0,0.0,2042.5,CL
45.0,0.0,2037.5,CL
50.0,0.0,2032.5,CL
55.0,0.0,2027.5,CL
60.0,0.0,2022.5,CL
65.0,0.0,2017.5,CL
70.0,0.0,2012.5,CL
75.0,0.0,2007.5,CL
80.0,0.0,2002.5,CL
85.0,0.0,1997.5,CL
90.0,0.0,1992.5,CL
95.0,0.0,1987.5,CL
100.0,0.0,1982.5,CL
105.0,0.0,1977.5,CL
110.0,0.0,1972.5,CL
115.0,0.0,1967.5,CL
120.0,0.0,1962.5,CL
125.0,0.0,1957.5,CL
130.0,0.0,1952.5,CL
135.0,0.0,1947.5,CL
140.0,0.0,1942.5,CL
145.0,0.0,1937.5,CL
150.0,0.0,1932.5,CL
155.0,0.0,1927.5,CL
160.0,0.0,1922.5,CL
165.0,0.0,1917.5,CL
170.0,0.0,1912.5,CL
175.0,0.0,1907.5,CL
180.0,0.0,1902.5,CL
185.0,0.0,1897.5,CL
190.0,0.0,1892.5,CL
195.0,0.0,1887.5,CL
200.0,0.0,1882.5,CL
205.0,0.0,1877.5,CL
210.0,0.0,1872.5,CL
215.0,0.0,1867.5,CL
220.0,0.0,1862.5,CL
225.0,0.0,1857.5,CL
230.0,0.0,1852.5,CL
235.0,0.0,1847.5,CL
240.0,0.0,1842.5,CL
245.0,0.0,1837.5,CL
250.0,0.0,1832.5,CL
255.0,0.0,1827.5,CL
260.0,0.0,1822.5,CL
265.0,0.0,1817.5,CL
270.0,0.0,1812.5,CL
275.0,0.0,1807.5,CL
280.0,0.0,1802.5,CL
285.0,0.0,1797.5,CL
290.0,0.0,1792.5,CL
295.0,0.0,1787.5,CL
300.0,0.0,1781.0,CL
305.0,0.0,1776.0,CL
310.0,0.0,1771.0,CL
315.0,0.0,1766.0,CL
320.0,0.0,1761.0,CL
325.0,0.0,1756.0,CL
330.0,0.0,1751.0,CL
335.0,0.0,1746.0,CL
340.0,0.0,1741.0,CL
345.0,0.0,1736.0,CL
350.0,0.0,1731.0,CL
355.0,0.0,1726.0,CL
360.0,0.0,1721.0,CL
365.0,0.0,1716.0,CL
370.0,0.0,1711.0,CL
375.0,0.0,1706.0,CL
380.0,0.0,1701.0,CL
385.0,0.0,1696.0,CL
390.0,0.0,1691.0,CL
395.0,0.0,1686.0,CL
400.0,0.0,1681.0,CL
405.0,0.0,1676.0,CL
410.0,0.0,1671.0,CL
415.0,0.0,1671.0,CL
0.0,0.0,2082.36,XS
0.0,5.0,2082.28,XS
0.0,10.0,2082.232,XS
0.0,15.0,2082.237,XS
0.0,-5.0,2082.441,XS
0.0,-15.0,2082.5,XS
0.0,-10.0,2082.49,XS
5.0,0.0,2077.436,XS
5.0,5.0,2077.34,XS
5.0,10.0,2077.276,XS
5.0,15.0,2077.265,XS
5.0,-5.0,2077.527,XS
5.0,-15.0,2077.592,XS
5.0,-10.0,2077.581,XS
10.0,0.0,2072.491,XS
10.0,5.0,2072.398,XS
10.0,10.0,2072.333,XS
10.0,15.0,2072.32,XS
10.0,-5.0,2072.579,XS
10.0,-15.0,2072.643,XS
10.0,-10.0,2072.632,XS
15.0,0.0,2067.515,XS
15.0,5.0,2067.445,XS
15.0,10.0,2067.401,XS
15.0,15.0,2067.401,XS
15.0,-5.0,2067.585,XS
15.0,-15.0,2067.636,XS
15.0,-10.0,2067.627,XS
20.0,0.0,2062.509,XS
20.0,5.0,2062.476,XS
20.0,10.0,2062.467,XS
20.0,15.0,2062.492,XS
20.0,-5.0,2062.548,XS
20.0,-15.0,2062.579,XS
20.0,-10.0,2062.574,XS
25.0,0.0,2057.481,XS
25.0,5.0,2057.489,XS
25.0,10.0,2057.519,XS
25.0,15.0,2057.569,XS
25.0,-5.0,2057.486,XS
25.0,-15.0,2057.495,XS
25.0,-10.0,2057.493,XS
30.0,0.0,2052.445,XS
30.0,5.0,2052.488,XS
30.0,10.0,2052.548,XS
30.0,15.0,2052.617,XS
30.0,-5.0,2052.422,XS
30.0,-15.0,2052.413,XS
30.0,-10.0,2052.414,XS
35.0,0.0,2047.42,XS
35.0,5.0,2047.48,XS
35.0,10.0,2047.553,XS
35.0,15.0,2047.626,XS
35.0,-5.0,2047.381,XS
35.0,-15.0,2047.361,XS
35.0,-10.0,2047.364,XS
40.0,0.0,2042.42,XS
40.0,5.0,2042.476,XS
40.0,10.0,2042.54,XS
40.0,15.0,2042.6,XS
40.0,-5.0,2042.382,XS
40.0,-15.0,2042.36,XS
40.0,-10.0,2042.363,XS
45.0,0.0,2037.452,XS
45.0,5.0,2037.484,XS
45.0,10.0,2037.519,XS
45.0,15.0,2037.551,XS
45.0,-5.0,2037.429,XS
45.0,-15.0,2037.416,XS
45.0,-10.0,2037.418,XS
50.0,0.0,2032.507,XS
50.0,5.0,2032.502,XS
50.0,10.0,2032.498,XS
50.0,15.0,2032.493,XS
50.0,-5.0,2032.51,XS
50.0,-15.0,2032.511,XS
50.0,-10.0,2032.511,XS
55.0,0.0,2027.554,XS
55.0,5.0,2027.514,XS
55.0,10.0,2027.47,XS
55.0,15.0,2027.43,XS
55.0,-5.0,2027.584,XS
55.0,-15.0,2027.6,XS
55.0,-10.0,2027.598,XS
60.0,0.0,2022.563,XS
60.0,5.0,2022.493,XS
60.0,10.0,2022.419,XS
60.0,15.0,2022.355,XS
60.0,-5.0,2022.614,XS
60.0,-15.0,2022.645,XS
60.0,-10.0,2022.64,XS
65.0,0.0,2017.524,XS
65.0,5.0,2017.437,XS
65.0,10.0,2017.348,XS
65.0,15.0,2017.276,XS
65.0,-5.0,2017.591,XS
65.0,-15.0,2017.632,XS
65.0,-10.0,2017.625,XS
70.0,0.0,2012.45,XS
70.0,5.0,2012.359,XS
70.0,10.0,2012.271,XS
70.0,15.0,2012.209,XS
70.0,-5.0,2012.524,XS
70.0,-15.0,2012.571,XS
70.0,-10.0,2012.563,XS
75.0,0.0,2007.363,XS
75.0,5.0,2007.278,XS
75.0,10.0,2007.206,XS
75.0,15.0,2007.166,XS
75.0,-5.0,2007.436,XS
75.0,-15.0,2007.485,XS
75.0,-10.0,2007.477,XS
80.0,0.0,2002.288,XS
80.0,5.0,2002.215,XS
80.0,10.0,2002.164,XS
80.0,15.0,2002.152,XS
