X,Y,Z,Label
0.0,0.0,500.745,CL
0.2,0.219,500.734,CL
0.4,0.437,500.723,CL
0.6,0.656,500.712,CL
0.8,0.874,500.701,CL
1.0,1.093,500.69,CL
1.2,1.311,500.679,CL
1.4,1.53,500.667,CL
1.6,1.748,500.656,CL
1.8,1.967,500.644,CL
2.0,2.185,500.633,CL
2.2,2.404,500.621,CL
2.4,2.622,500.609,CL
2.6,2.841,500.598,CL
2.8,3.059,500.586,CL
3.0,3.278,500.574,CL
3.2,3.496,500.563,CL
3.4,3.714,500.551,CL
3.6,3.933,500.539,CL
3.8,4.151,500.527,CL
4.0,4.369,500.516,CL
4.2,4.587,500.504,CL
4.4,4.806,500.492,CL
4.6,5.024,500.481,CL
4.8,5.242,500.469,CL
5.0,5.46,500.458,CL
5.2,5.678,500.447,CL
5.4,5.896,500.435,CL
5.6,6.114,500.424,CL
5.8,6.332,500.413,CL
6.0,6.55,500.402,CL
6.2,6.768,500.391,CL
6.4,6.986,500.38,CL
6.6,7.204,500.369,CL
6.8,7.422,500.358,CL
7.0,7.639,500.348,CL
7.2,7.857,500.337,CL
7.4,8.075,500.327,CL
7.6,8.292,500.317,CL
7.8,8.51,500.307,CL
8.0,8.727,500.297,CL
8.2,8.944,500.287,CL
8.4,9.162,500.277,CL
8.6,9.379,500.268,CL
8.8,9.596,500.259,CL
9.0,9.813,500.249,CL
9.2,10.03,500.24,CL
9.4,10.247,500.231,CL
9.6,10.464,500.223,CL
9.8,10.681,500.214,CL
10.0,10.898,500.206,CL
10.2,11.115,500.198,CL
10.4,11.332,500.189,CL
10.6,11.548,500.181,CL
10.8,11.765,500.174,CL
11.0,11.981,500.166,CL
11.2,12.197,500.159,CL
11.4,12.414,500.151,CL
11.6,12.63,500.144,CL
11.8,12.846,500.137,CL
12.0,13.062,500.131,CL
12.2,13.278,500.124,CL
12.4,13.494,500.118,CL
12.6,13.71,500.111,CL
12.8,13.925,500.105,CL
13.0,14.141,500.099,CL
13.2,14.356,500.093,CL
13.4,14.572,500.088,CL
13.6,14.787,500.082,CL
13.8,15.002,500.077,CL
14.0,15.217,500.072,CL
14.2,15.432,500.067,CL
14.4,15.647,500.062,CL
14.6,15.862,500.057,CL
14.8,16.077,500.052,CL
15.0,16.292,500.048,CL
15.2,16.506,500.044,CL
15.4,16.72,500.039,CL
15.6,16.935,500.035,CL
15.8,17.149,500.031,CL
16.0,17.363,500.028,CL
16.2,17.577,500.024,CL
16.4,17.791,500.02,CL
16.6,18.004,500.017,CL
16.8,18.218,500.013,CL
17.0,18.431,500.01,CL
17.2,18.645,500.007,CL
17.4,18.858,500.004,CL
17.6,19.071,500.001,CL
17.8,19.284,499.998,CL
18.0,19.497,499.995,CL
18.2,19.71,499.993,CL
18.4,19.922,499.99,CL
18.6,20.135,499.988,CL
18.8,20.347,499.985,CL
19.0,20.559,499.983,CL
19.2,20.771,499.981,CL
19.4,20.983,499.979,CL
19.6,21.195,499.976,CL
19.8,21.407,499.974,CL
20.0,21.618,499.972,CL
20.2,21.83,499.97,CL
20.4,22.041,499.968,CL
20.6,22.252,499.967,CL
20.8,22.463,499.965,CL
21.0,22.674,499.963,CL
21.2,22.885,499.961,CL
21.4,23.095,499.96,CL
21.6,23.305,499.958,CL
21.8,23.516,499.956,CL
22.0,23.726,499.955,CL
22.2,23.936,499.953,CL
22.4,24.145,499.952,CL
22.6,24.355,499.95,CL
22.8,24.564,499.949,CL
23.0,24.774,499.947,CL
23.2,24.983,499.946,CL
23.4,25.192,499.945,CL
23.6,25.4,499.943,CL
23.8,25.609,499.942,CL
24.0,25.817,499.94,CL
24.2,26.026,499.939,CL
24.4,26.234,499.938,CL
24.6,26.442,499.936,CL
24.8,26.649,499.935,CL
25.0,26.857,499.934,CL
25.2,27.064,499.933,CL
25.4,27.272,499.931,CL
25.6,27.479,499.93,CL
25.8,27.686,499.929,CL
26.0,27.892,499.927,CL
26.2,28.099,499.926,CL
26.4,28.305,499.925,CL
26.6,28.511,499.924,CL
26.8,28.717,499.922,CL
27.0,28.923,499.921,CL
27.2,29.129,499.92,CL
27.4,29.334,499.918,CL
27.6,29.539,499.917,CL
27.8,29.744,499.916,CL
28.0,29.949,499.915,CL
28.2,30.154,499.913,CL
28.4,30.358,499.912,CL
28.6,30.562,499.911,CL
28.8,30.766,499.909,CL
29.0,30.97,499.908,CL
29.2,31.174,499.907,CL
29.4,31.377,499.905,CL
29.6,31.58,499.904,CL
29.8,31.783,499.903,CL
30.0,31.986,499.901,CL
30.2,32.189,499.9,CL
30.4,32.391,499.899,CL
30.6,32.593,499.898,CL
30.8,32.795,499.896,CL
31.0,32.997,499.895,CL
31.2,33.198,499.894,CL
31.4,33.4,499.892,CL
31.6,33.601,499.891,CL
31.8,33.802,499.89,CL
32.0,34.002,499.888,CL
32.2,34.203,499.887,CL
32.4,34.403,499.886,CL
32.6,34.603,499.884,CL
32.8,34.803,499.883,CL
