X,Y,Z,Label
0.0,0.0,499.771,CL
0.2,0.049,499.721,CL
0.4,0.098,499.67,CL
0.6,0.147,499.62,CL
0.8,0.196,499.57,CL
1.0,0.245,499.522,CL
1.2,0.294,499.477,CL
1.4,0.343,499.435,CL
1.6,0.392,499.398,CL
1.8,0.441,499.366,CL
2.0,0.49,499.341,CL
2.2,0.539,499.322,CL
2.4,0.588,499.311,CL
2.6,0.637,499.308,CL
2.8,0.686,499.311,CL
3.0,0.734,499.32,CL
3.2,0.783,499.335,CL
3.4,0.832,499.353,CL
3.6,0.88,499.374,CL
3.8,0.929,499.396,CL
4.0,0.977,499.417,CL
4.2,1.026,499.438,CL
4.4,1.074,499.455,CL
4.6,1.122,499.469,CL
4.8,1.171,499.479,CL
5.0,1.219,499.485,CL
5.2,1.267,499.486,CL
5.4,1.315,499.482,CL
5.6,1.362,499.474,CL
5.8,1.41,499.462,CL
6.0,1.458,499.447,CL
6.2,1.505,499.428,CL
6.4,1.553,499.407,CL
6.6,1.6,499.384,CL
6.8,1.648,499.36,CL
7.0,1.695,499.336,CL
7.2,1.742,499.312,CL
7.4,1.789,499.29,CL
7.6,1.835,499.269,CL
7.8,1.882,499.252,CL
8.0,1.929,499.237,CL
8.2,1.975,499.227,CL
8.4,2.021,499.219,CL
8.6,2.067,499.215,CL
8.8,2.114,499.214,CL
9.0,2.159,499.214,CL
9.2,2.205,499.216,CL
9.4,2.251,499.218,CL
9.6,2.296,499.218,CL
9.8,2.341,499.217,CL
10.0,2.386,499.212,CL
10.2,2.431,499.204,CL
10.4,2.476,499.191,CL
10.6,2.521,499.175,CL
10.8,2.565,499.154,CL
11.0,2.61,499.131,CL
11.2,2.654,499.107,CL
11.4,2.698,499.081,CL
11.6,2.741,499.064,CL
11.8,2.785,499.034,CL
12.0,2.828,499.013,CL
12.2,2.872,498.996,CL
12.4,2.915,498.983,CL
12.6,2.957,498.973,CL
12.8,3.0,498.973,CL
13.0,3.042,498.961,CL
13.2,3.085,498.956,CL
13.4,3.127,498.951,CL
13.6,3.168,498.951,CL
13.8,3.21,498.935,CL
14.0,3.251,498.923,CL
14.2,3.292,498.906,CL
14.4,3.333,498.887,CL
14.6,3.374,498.865,CL
14.8,3.415,498.84,CL
15.0,3.455,498.816,CL
15.2,3.495,498.798,CL
15.4,3.535,498.77,CL
15.6,3.574,498.751,CL
15.8,3.614,498.742,CL
16.0,3.653,498.725,CL
16.2,3.691,498.723,CL
16.4,3.73,498.712,CL
16.6,3.768,498.707,CL
16.8,3.806,498.702,CL
17.0,3.844,498.694,CL
17.2,3.882,498.686,CL
17.4,3.919,498.661,CL
17.6,3.956,498.632,CL
17.8,3.993,498.595,CL
18.0,4.029,498.553,CL
18.2,4.066,498.49,CL
18.4,4.102,498.432,CL
18.6,4.137,498.354,CL
18.8,4.173,498.28,CL
19.0,4.208,498.204,CL
19.2,4.243,498.13,CL
19.4,4.277,498.06,CL
19.6,4.311,497.996,CL
19.8,4.345,497.939,CL
20.0,4.379,497.89,CL
20.2,4.413,497.85,CL
20.4,4.446,497.816,CL
20.6,4.479,497.787,CL
20.8,4.511,497.762,CL
21.0,4.543,497.737,CL
21.2,4.575,497.71,CL
21.4,4.607,497.68,CL
21.6,4.638,497.643,CL
21.8,4.669,497.6,CL
22.0,4.7,497.549,CL
22.2,4.73,497.491,CL
22.4,4.76,497.426,CL
22.6,4.79,497.358,CL
22.8,4.819,497.287,CL
23.0,4.848,497.217,CL
23.2,4.877,497.151,CL
23.4,4.906,497.09,CL
23.6,4.934,497.038,CL
23.8,4.961,496.995,CL
24.0,4.989,496.963,CL
24.2,5.016,496.942,CL
24.4,5.043,496.931,CL
24.6,5.069,496.929,CL
24.8,5.095,496.934,CL
25.0,5.121,496.945,CL
25.2,5.146,496.96,CL
25.4,5.171,496.976,CL
25.6,5.196,496.991,CL
25.8,5.221,497.004,CL
26.0,5.245,497.014,CL
26.2,5.268,497.022,CL
26.4,5.292,497.026,CL
26.6,5.314,497.027,CL
26.8,5.337,497.027,CL
27.0,5.359,497.027,CL
27.2,5.381,497.027,CL
27.4,5.403,497.029,CL
27.6,5.424,497.033,CL
27.8,5.445,497.04,CL
28.0,5.465,497.05,CL
28.2,5.485,497.061,CL
28.4,5.505,497.073,CL
28.6,5.524,497.085,CL
28.8,5.543,497.093,CL
29.0,5.562,497.095,CL
29.2,5.58,497.091,CL
29.4,5.598,497.076,CL
29.6,5.615,497.051,CL
29.8,5.633,497.013,CL
30.0,5.649,496.962,CL
30.2,5.666,496.898,CL
30.4,5.682,496.821,CL
30.6,5.697,496.733,CL
30.8,5.712,496.636,CL
31.0,5.727,496.532,CL
31.2,5.742,496.425,CL
31.4,5.756,496.317,CL
31.6,5.769,496.212,CL
31.8,5.783,496.114,CL
32.0,5.796,496.024,CL
32.2,5.808,495.947,CL
32.4,5.82,495.883,CL
32.6,5.832,495.835,CL
32.8,5.843,495.803,CL
33.0,5.854,495.788,CL
33.2,5.865,495.788,CL
33.4,5.875,495.803,CL
33.6,5.885,495.83,CL
33.8,5.894,495.868,CL
34.0,5.903,495.913,CL
34.2,5.912,495.963,CL
34.4,5.92,496.014,CL
34.6,5.928,496.063,CL
34.8,5.935,496.109,CL
35.0,5.942,496.148,CL
35.2,5.949,496.179,CL
35.4,5.955,496.2,CL
35.6,5.961,496.212,CL
35.8,5.966,496.213,CL
36.0,5.971,496.205,CL
36.2,5.976,496.188,CL
36.4,5.98,496.163,CL
36.6,5.984,496.133,CL
36.8,5.987,496.098,CL
37.0,5.99,496.061,CL
37.2,5.993,496.024,CL
37.4,5.995,495.986,CL
37.6,5.997,495.95,CL
37.8,5.998,495.916,CL
38.0,5.999,495.884,CL
38.2,6.0,495.855,CL
38.4,6.0,495.827,CL
38.6,6.0,495.801,CL
38.8,5.999,495.776,CL
39.0,5.998,495.75,CL
39.2,5.997,495.724,CL
39.4,5.995,495.698,CL
39.6,5.993,495.669,CL
39.8,5.99,495.64,CL
40.0,5.987,495.61,CL
40.2,5.984,495.579,CL
40.4,5.98,495.549,CL
40.6,5.976,495.519,CL
40.8,5.971,495.492,CL
41.0,5.966,495.466,CL
41.2,5.961,495.444,CL
41.4,5.955,495.425,CL
41.6,5.949,495.409,CL
41.8,5.942,495.396,CL
42.0,5.935,495.386,CL
42.2,5.928,495.376,CL
42.4,5.92,495.367,CL
42.6,5.912,495.356,CL
42.8,5.903,495.343,CL
43.0,5.894,495.327,CL
43.2,5.885,495.306,CL
43.4,5.875,495.28,CL
43.6,5.865,495.248,CL
43.8,5.854,495.212,CL
44.0,5.843,495.171,CL
44.2,5.832,495.126,CL
44.4,5.82,495.08,CL
44.6,5.808,495.032,CL
44.8,5.796,494.986,CL
45.0,5.783,494.942,CL
45.2,5.769,494.903,CL
45.4,5.756,494.869,CL
45.6,5.742,494.843,CL
45.8,5.727,494.825,CL
46.0,5.712,494.815,CL
46.2,5.697,494.813,CL
46.4,5.682,494.819,CL
