,X,Y,Z,Label
0,100.0,100.0,600.0,CL
1,100.2,100.0,599.995,CL
2,100.4,100.0,599.99,CL
3,100.6,100.0,599.985,CL
4,100.8,100.0,599.98,CL
5,101.0,100.0,599.975,CL
6,101.2,100.0,599.97,CL
7,101.4,100.0,599.9639999999999,CL
8,101.6,100.0,599.9590000000001,CL
9,101.8,100.0,599.954,CL
10,102.0,100.0,599.9490000000001,CL
11,102.2,100.0,599.944,CL
12,102.4,100.0,599.9390000000001,CL
13,102.6,100.0,599.934,CL
14,102.8,100.0,599.9290000000001,CL
15,103.0,100.0,599.924,CL
16,103.2,100.0,599.9190000000001,CL
17,103.4,100.0,599.914,CL
18,103.6,100.0,599.909,CL
19,103.8,100.0,599.904,CL
20,104.0,100.0,599.899,CL
21,104.2,100.0,599.893,CL
22,104.4,100.0,599.888,CL
23,104.6,100.0,599.883,CL
24,104.8,100.0,599.878,CL
25,105.0,100.0,599.873,CL
26,105.2,100.0,599.868,CL
27,105.4,100.0,599.863,CL
28,105.6,100.0,599.858,CL
29,105.8,100.0,599.8530000000001,CL
30,106.0,100.0,599.848,CL
31,106.2,100.0,599.8430000000001,CL
32,106.4,100.0,599.838,CL
33,106.6,100.0,599.8330000000001,CL
34,106.8,100.0,599.828,CL
35,107.0,100.0,599.8219999999999,CL
36,107.2,100.0,599.817,CL
37,107.4,100.0,599.8119999999999,CL
38,107.6,100.0,599.807,CL
39,107.8,100.0,599.8019999999999,CL
40,108.0,100.0,599.797,CL
41,108.2,100.0,599.7919999999999,CL
42,108.4,100.0,599.787,CL
43,108.6,100.0,599.7819999999999,CL
44,108.8,100.0,599.777,CL
45,109.0,100.0,599.7719999999999,CL
46,109.2,100.0,599.767,CL
47,109.4,100.0,599.762,CL
48,109.6,100.0,599.757,CL
49,109.8,100.0,599.751,CL
50,110.0,100.0,599.746,CL
51,110.2,100.0,599.741,CL
52,110.4,100.0,599.736,CL
53,110.6,100.0,599.731,CL
54,110.8,100.0,599.726,CL
55,111.0,100.0,599.721,CL
56,111.2,100.0,599.716,CL
57,111.4,100.0,599.711,CL
58,111.6,100.0,599.7059999999999,CL
59,111.8,100.0,599.701,CL
60,112.0,100.0,599.6959999999999,CL
61,112.2,100.0,599.691,CL
62,112.4,100.0,599.6859999999999,CL
63,112.6,100.0,599.6800000000001,CL
64,112.8,100.0,599.675,CL
65,113.0,100.0,599.6700000000001,CL
66,113.2,100.0,599.665,CL
67,113.4,100.0,599.6600000000001,CL
68,113.6,100.0,599.655,CL
69,113.8,100.0,599.65,CL
70,114.0,100.0,599.645,CL
71,114.2,100.0,599.64,CL
72,114.4,100.0,599.635,CL
73,114.6,100.0,599.63,CL
74,114.8,100.0,599.625,CL
75,115.0,100.0,599.62,CL
76,115.2,100.0,599.615,CL
77,115.4,100.0,599.609,CL
78,115.6,100.0,599.604,CL
79,115.8,100.0,599.5989999999999,CL
80,116.0,100.0,599.594,CL
81,116.2,100.0,599.5889999999999,CL
82,116.4,100.0,599.5840000000001,CL
83,116.6,100.0,599.579,CL
84,116.8,100.0,599.5740000000001,CL
85,117.0,100.0,599.569,CL
86,117.2,100.0,599.5640000000001,CL
87,117.4,100.0,599.559,CL
88,117.6,100.0,599.5540000000001,CL
89,117.8,100.0,599.549,CL
90,118.0,100.0,599.5440000000001,CL
91,118.2,100.0,599.538,CL
92,118.4,100.0,599.533,CL
93,118.6,100.0,599.528,CL
94,118.8,100.0,599.523,CL
95,119.0,100.0,599.518,CL
96,119.2,100.0,599.513,CL
97,119.4,100.0,599.508,CL
98,119.6,100.0,599.503,CL
99,119.8,100.0,599.498,CL
100,120.0,100.0,599.493,CL
101,120.2,100.0,599.488,CL
102,120.4,100.0,599.483,CL
103,120.6,100.0,599.4780000000001,CL
104,120.8,100.0,599.473,CL
105,121.0,100.0,599.467,CL
106,121.2,100.0,599.462,CL
107,121.4,100.0,599.457,CL
108,121.6,100.0,599.452,CL
109,121.8,100.0,599.4469999999999,CL
110,122.0,100.0,599.442,CL
111,122.2,100.0,599.4369999999999,CL
112,122.4,100.0,599.432,CL
113,122.6,100.0,599.4269999999999,CL
114,122.8,100.0,599.422,CL
115,123.0,100.0,599.4169999999999,CL
116,123.2,100.0,599.412,CL
117,123.4,100.0,599.4069999999999,CL
118,123.6,100.0,599.402,CL
119,123.8,100.0,599.396,CL
120,124.0,100.0,599.391,CL
121,124.2,100.0,599.386,CL
122,124.4,100.0,599.381,CL
123,124.6,100.0,599.376,CL
124,124.8,100.0,599.371,CL
125,125.0,100.0,599.366,CL
126,125.2,100.0,599.361,CL
127,125.4,100.0,599.356,CL
128,125.6,100.0,599.351,CL
129,125.8,100.0,599.346,CL
130,126.0,100.0,599.341,CL
131,126.2,100.0,599.336,CL
132,126.4,100.0,599.3299999999999,CL
133,126.6,100.0,599.325,CL
134,126.8,100.0,599.3199999999999,CL
135,127.0,100.0,599.315,CL
136,127.2,100.0,599.31,CL
137,127.4,100.0,599.3050000000001,CL
138,127.6,100.0,599.3,CL
139,127.8,100.0,599.2950000000001,CL
140,128.0,100.0,599.29,CL
141,128.2,100.0,599.2850000000001,CL
142,128.4,100.0,599.28,CL
143,128.6,100.0,599.275,CL
144,128.8,100.0,599.27,CL
145,129.0,100.0,599.265,CL
146,129.2,100.0,599.259,CL
147,129.4,100.0,599.254,CL
148,129.6,100.0,599.249,CL
149,129.8,100.0,599.244,CL
150,130.0,100.0,599.239,CL
151,130.2,100.0,599.234,CL
152,130.4,100.0,599.229,CL
153,130.6,100.0,599.2239999999999,CL
154,130.8,100.0,599.219,CL
155,131.0,100.0,599.2139999999999,CL
156,131.2,100.0,599.2090000000001,CL
157,131.4,100.0,599.204,CL
158,131.6,100.0,599.1990000000001,CL
159,131.8,100.0,599.194,CL
160,132.0,100.0,599.1880000000001,CL
161,132.2,100.0,599.183,CL
