X,Y,Z,Label
0.0,0.0,499.757,CL
0.2,-0.022,499.775,CL
0.4,-0.043,499.792,CL
0.6,-0.065,499.809,CL
0.8,-0.086,499.824,CL
1.0,-0.108,499.838,CL
1.2,-0.129,499.851,CL
1.4,-0.151,499.863,CL
1.6,-0.172,499.873,CL
1.8,-0.194,499.882,CL
2.0,-0.215,499.89,CL
2.2,-0.237,499.897,CL
2.4,-0.258,499.902,CL
2.6,-0.28,499.907,CL
2.8,-0.301,499.91,CL
3.0,-0.323,499.912,CL
3.2,-0.344,499.912,CL
3.4,-0.366,499.912,CL
3.6,-0.387,499.911,CL
3.8,-0.409,499.909,CL
4.0,-0.43,499.906,CL
4.2,-0.452,499.903,CL
4.4,-0.473,499.899,CL
4.6,-0.494,499.894,CL
4.8,-0.516,499.89,CL
5.0,-0.537,499.884,CL
5.2,-0.559,499.879,CL
5.4,-0.58,499.874,CL
5.6,-0.602,499.869,CL
5.8,-0.623,499.864,CL
6.0,-0.644,499.859,CL
6.2,-0.666,499.855,CL
6.4,-0.687,499.851,CL
6.6,-0.709,499.847,CL
6.8,-0.73,499.845,CL
7.0,-0.751,499.843,CL
7.2,-0.773,499.841,CL
7.4,-0.794,499.841,CL
7.6,-0.816,499.841,CL
7.8,-0.837,499.843,CL
8.0,-0.858,499.845,CL
8.2,-0.88,499.848,CL
8.4,-0.901,499.852,CL
8.6,-0.922,499.856,CL
8.8,-0.943,499.862,CL
9.0,-0.965,499.868,CL
9.2,-0.986,499.875,CL
9.4,-1.007,499.883,CL
9.6,-1.029,499.892,CL
9.8,-1.05,499.901,CL
10.0,-1.071,499.91,CL
10.2,-1.092,499.92,CL
10.4,-1.113,499.93,CL
10.6,-1.135,499.941,CL
10.8,-1.156,499.951,CL
11.0,-1.177,499.962,CL
11.2,-1.198,499.973,CL
11.4,-1.219,499.983,CL
11.6,-1.24,499.993,CL
11.8,-1.261,500.003,CL
12.0,-1.283,500.013,CL
12.2,-1.304,500.022,CL
12.4,-1.325,500.03,CL
12.6,-1.346,500.038,CL
12.8,-1.367,500.045,CL
13.0,-1.388,500.052,CL
13.2,-1.409,500.057,CL
13.4,-1.43,500.062,CL
13.6,-1.451,500.066,CL
13.8,-1.472,500.069,CL
14.0,-1.493,500.072,CL
14.2,-1.514,500.073,CL
14.4,-1.535,500.074,CL
14.6,-1.556,500.074,CL
14.8,-1.576,500.073,CL
15.0,-1.597,500.072,CL
15.2,-1.618,500.069,CL
15.4,-1.639,500.066,CL
15.6,-1.66,500.063,CL
15.8,-1.681,500.059,CL
16.0,-1.701,500.055,CL
16.2,-1.722,500.05,CL
16.4,-1.743,500.045,CL
16.6,-1.764,500.04,CL
16.8,-1.784,500.035,CL
17.0,-1.805,500.03,CL
17.2,-1.826,500.024,CL
17.4,-1.846,500.02,CL
17.6,-1.867,500.015,CL
17.8,-1.887,500.01,CL
18.0,-1.908,500.006,CL
18.2,-1.929,500.003,CL
18.4,-1.949,500.0,CL
18.6,-1.97,499.998,CL
18.8,-1.99,499.996,CL
19.0,-2.011,500.0,CL
19.2,-2.031,499.995,CL
19.4,-2.052,499.995,CL
19.6,-2.072,499.997,CL
19.8,-2.092,499.999,CL
20.0,-2.113,500.002,CL
20.2,-2.133,500.011,CL
20.4,-2.153,500.011,CL
20.6,-2.174,500.016,CL
20.8,-2.194,500.022,CL
21.0,-2.214,500.029,CL
21.2,-2.234,500.037,CL
21.4,-2.255,500.046,CL
21.6,-2.275,500.055,CL
21.8,-2.295,500.064,CL
22.0,-2.315,500.074,CL
22.2,-2.335,500.085,CL
22.4,-2.355,500.096,CL
22.6,-2.375,500.107,CL
22.8,-2.395,500.118,CL
23.0,-2.415,500.13,CL
23.2,-2.435,500.142,CL
23.4,-2.455,500.153,CL
23.6,-2.475,500.165,CL
23.8,-2.495,500.176,CL
24.0,-2.515,500.187,CL
24.2,-2.535,500.198,CL
24.4,-2.554,500.208,CL
24.6,-2.574,500.218,CL
24.8,-2.594,500.228,CL
25.0,-2.614,500.237,CL
25.2,-2.633,500.245,CL
25.4,-2.653,500.253,CL
25.6,-2.673,500.26,CL
25.8,-2.692,500.266,CL
26.0,-2.712,500.272,CL
26.2,-2.731,500.276,CL
26.4,-2.751,500.28,CL
26.6,-2.77,500.283,CL
26.8,-2.79,500.286,CL
27.0,-2.809,500.288,CL
27.2,-2.829,500.289,CL
27.4,-2.848,500.289,CL
27.6,-2.867,500.291,CL
27.8,-2.887,500.287,CL
28.0,-2.906,500.286,CL
28.2,-2.925,500.283,CL
28.4,-2.944,500.281,CL
28.6,-2.963,500.277,CL
28.8,-2.983,500.274,CL
29.0,-3.002,500.27,CL
29.2,-3.021,500.266,CL
29.4,-3.04,500.261,CL
29.6,-3.059,500.257,CL
29.8,-3.078,500.255,CL
30.0,-3.097,500.248,CL
30.2,-3.116,500.243,CL
30.4,-3.134,500.241,CL
30.6,-3.153,500.235,CL
30.8,-3.172,500.231,CL
31.0,-3.191,500.227,CL
31.2,-3.21,500.224,CL
31.4,-3.228,500.221,CL
31.6,-3.247,500.218,CL
31.8,-3.266,500.217,CL
32.0,-3.284,500.215,CL
32.2,-3.303,500.214,CL
32.4,-3.321,500.214,CL
32.6,-3.34,500.214,CL
32.8,-3.358,500.215,CL
33.0,-3.376,500.216,CL
33.2,-3.395,500.218,CL
33.4,-3.413,500.221,CL
33.6,-3.431,500.227,CL
33.8,-3.45,500.227,CL
34.0,-3.468,500.231,CL
34.2,-3.486,500.238,CL
34.4,-3.504,500.243,CL
34.6,-3.522,500.245,CL
34.8,-3.54,500.253,CL
35.0,-3.558,500.256,CL
35.2,-3.576,500.261,CL
35.4,-3.594,500.267,CL
35.6,-3.612,500.272,CL
35.8,-3.63,500.278,CL
36.0,-3.648,500.283,CL
36.2,-3.666,500.288,CL
36.4,-3.684,500.293,CL
36.6,-3.701,500.297,CL
36.8,-3.719,500.301,CL
37.0,-3.737,500.305,CL
37.2,-3.754,500.308,CL
37.4,-3.772,500.31,CL
37.6,-3.789,500.312,CL
37.8,-3.807,500.313,CL
38.0,-3.824,500.314,CL
38.2,-3.841,500.314,CL
38.4,-3.859,500.313,CL
38.6,-3.876,500.312,CL
38.8,-3.893,500.309,CL
39.0,-3.911,500.306,CL
39.2,-3.928,500.303,CL
39.4,-3.945,500.299,CL
39.6,-3.962,500.294,CL
39.8,-3.979,500.289,CL
40.0,-3.996,500.283,CL
40.2,-4.013,500.277,CL
40.4,-4.03,500.27,CL
40.6,-4.047,500.263,CL
40.8,-4.063,500.256,CL
41.0,-4.08,500.249,CL
41.2,-4.097,500.242,CL
41.4,-4.114,500.235,CL
41.6,-4.13,500.228,CL
41.8,-4.147,500.222,CL
42.0,-4.163,500.215,CL
42.2,-4.18,500.21,CL
42.4,-4.196,500.204,CL
42.6,-4.213,500.2,CL
42.8,-4.229,500.196,CL
43.0,-4.245,500.192,CL
43.2,-4.262,500.19,CL
43.4,-4.278,500.189,CL
43.6,-4.294,500.188,CL
43.8,-4.31,500.189,CL
44.0,-4.326,500.19,CL
44.2,-4.342,500.193,CL
44.4,-4.358,500.196,CL
44.6,-4.374,500.201,CL
44.8,-4.39,500.207,CL
45.0,-4.406,500.214,CL
45.2,-4.422,500.222,CL
45.4,-4.438,500.231,CL
45.6,-4.453,500.241,CL
45.8,-4.469,500.252,CL
46.0,-4.485,500.263,CL
46.2,-4.5,500.276,CL
46.4,-4.516,500.289,CL
46.6,-4.531,500.303,CL
46.8,-4.546,500.317,CL
47.0,-4.562,500.331,CL
47.2,-4.577,500.346,CL
47.4,-4.592,500.361,CL
47.6,-4.608,500.375,CL
47.8,-4.623,500.39,CL
48.0,-4.638,500.405,CL
48.2,-4.653,500.419,CL
48.4,-4.668,500.432,CL
48.6,-4.683,500.445,CL
48.8,-4.698,500.458,CL
49.0,-4.713,500.469,CL
49.2,-4.727,500.48,CL
49.4,-4.742,500.49,CL
49.6,-4.757,500.499,CL
49.8,-4.771,500.506,CL
50.0,-4.786,500.512,CL
50.2,-4.801,500.517,CL
50.4,-4.815,500.521,CL
50.6,-4.829,500.523,CL
50.8,-4.844,500.524,CL
51.0,-4.858,500.524,CL
51.2,-4.872,500.522,CL
51.4,-4.887,500.519,CL
51.6,-4.901,500.514,CL
51.8,-4.915,500.509,CL
52.0,-4.929,500.502,CL
52.2,-4.943,500.494,CL
52.4,-4.957,500.484,CL
52.6,-4.971,500.474,CL
52.8,-4.985,500.462,CL
53.0,-4.998,500.45,CL
53.2,-5.012,500.438,CL
53.4,-5.026,500.423,CL
53.6,-5.039,500.408,CL
53.8,-5.053,500.393,CL
54.0,-5.067,500.378,CL
54.2,-5.08,500.362,CL
54.4,-5.093,500.345,CL
54.6,-5.107,500.329,CL
54.8,-5.12,500.312,CL
55.0,-5.133,500.296,CL
55.2,-5.146,500.279,CL
55.4,-5.16,500.263,CL
55.6,-5.173,500.247,CL
55.8,-5.186,500.231,CL
56.0,-5.199,500.216,CL
56.2,-5.211,500.203,CL
56.4,-5.224,500.186,CL
56.6,-5.237,500.172,CL
56.8,-5.25,500.158,CL
57.0,-5.262,500.145,CL
57.2,-5.275,500.133,CL
57.4,-5.288,500.121,CL
57.6,-5.3,500.109,CL
57.8,-5.312,500.098,CL
58.0,-5.325,500.088,CL
58.2,-5.337,500.078,CL
58.4,-5.349,500.069,CL
58.6,-5.362,500.06,CL
58.8,-5.374,500.051,CL
59.0,-5.386,500.043,CL
59.2,-5.398,500.036,CL
59.4,-5.41,500.028,CL
59.6,-5.422,500.021,CL
59.8,-5.434,500.015,CL
