,X,Y,Z,Label
0,100.0,100.0,599.757,CL
1,100.2,99.978,599.775,CL
2,100.4,99.957,599.7919999999999,CL
3,100.6,99.935,599.809,CL
4,100.8,99.914,599.8240000000001,CL
5,101.0,99.892,599.838,CL
6,101.2,99.871,599.851,CL
7,101.4,99.849,599.863,CL
8,101.6,99.828,599.873,CL
9,101.8,99.806,599.882,CL
10,102.0,99.785,599.89,CL
11,102.2,99.763,599.8969999999999,CL
12,102.4,99.742,599.902,CL
13,102.6,99.72,599.9069999999999,CL
14,102.8,99.699,599.9100000000001,CL
15,103.0,99.677,599.912,CL
16,103.2,99.656,599.912,CL
17,103.4,99.634,599.912,CL
18,103.6,99.613,599.9110000000001,CL
19,103.8,99.591,599.909,CL
20,104.0,99.57,599.906,CL
21,104.2,99.548,599.903,CL
22,104.4,99.527,599.899,CL
23,104.6,99.506,599.894,CL
24,104.8,99.484,599.89,CL
25,105.0,99.463,599.884,CL
26,105.2,99.441,599.879,CL
27,105.4,99.42,599.874,CL
28,105.6,99.398,599.869,CL
29,105.8,99.377,599.864,CL
30,106.0,99.356,599.859,CL
31,106.2,99.334,599.855,CL
32,106.4,99.313,599.851,CL
33,106.6,99.291,599.847,CL
34,106.8,99.27,599.845,CL
35,107.0,99.249,599.8430000000001,CL
36,107.2,99.227,599.841,CL
37,107.4,99.206,599.841,CL
38,107.6,99.184,599.841,CL
39,107.8,99.163,599.8430000000001,CL
40,108.0,99.142,599.845,CL
41,108.2,99.12,599.848,CL
42,108.4,99.099,599.852,CL
43,108.6,99.078,599.856,CL
44,108.8,99.057,599.862,CL
45,109.0,99.035,599.868,CL
46,109.2,99.014,599.875,CL
47,109.4,98.993,599.883,CL
48,109.6,98.971,599.892,CL
49,109.8,98.95,599.9010000000001,CL
50,110.0,98.929,599.9100000000001,CL
51,110.2,98.908,599.9200000000001,CL
52,110.4,98.887,599.9300000000001,CL
53,110.6,98.865,599.941,CL
54,110.8,98.844,599.951,CL
55,111.0,98.823,599.962,CL
56,111.2,98.802,599.973,CL
57,111.4,98.781,599.983,CL
58,111.6,98.76,599.993,CL
59,111.8,98.739,600.003,CL
60,112.0,98.717,600.013,CL
61,112.2,98.696,600.0219999999999,CL
62,112.4,98.675,600.03,CL
63,112.6,98.654,600.038,CL
64,112.8,98.633,600.0450000000001,CL
65,113.0,98.612,600.0519999999999,CL
66,113.2,98.591,600.057,CL
67,113.4,98.57,600.0619999999999,CL
68,113.6,98.549,600.066,CL
69,113.8,98.528,600.069,CL
70,114.0,98.507,600.0719999999999,CL
71,114.2,98.486,600.0730000000001,CL
72,114.4,98.465,600.0740000000001,CL
73,114.6,98.444,600.0740000000001,CL
74,114.8,98.424,600.0730000000001,CL
75,115.0,98.403,600.0719999999999,CL
76,115.2,98.382,600.069,CL
77,115.4,98.361,600.066,CL
78,115.6,98.34,600.0630000000001,CL
79,115.8,98.319,600.059,CL
80,116.0,98.299,600.0550000000001,CL
81,116.2,98.278,600.05,CL
82,116.4,98.257,600.0450000000001,CL
83,116.6,98.236,600.04,CL
84,116.8,98.216,600.0350000000001,CL
85,117.0,98.195,600.03,CL
86,117.2,98.174,600.024,CL
87,117.4,98.154,600.02,CL
88,117.6,98.133,600.015,CL
89,117.8,98.113,600.01,CL
90,118.0,98.092,600.006,CL
91,118.2,98.071,600.003,CL
92,118.4,98.051,600.0,CL
93,118.6,98.03,599.998,CL
94,118.8,98.01,599.996,CL
95,119.0,97.989,600.0,CL
96,119.2,97.969,599.995,CL
97,119.4,97.948,599.995,CL
98,119.6,97.928,599.997,CL
99,119.8,97.908,599.999,CL
100,120.0,97.887,600.002,CL
101,120.2,97.867,600.011,CL
102,120.4,97.847,600.011,CL
103,120.6,97.826,600.016,CL
104,120.8,97.806,600.0219999999999,CL
105,121.0,97.786,600.029,CL
106,121.2,97.766,600.037,CL
107,121.4,97.745,600.046,CL
108,121.6,97.725,600.0550000000001,CL
109,121.8,97.705,600.0640000000001,CL
110,122.0,97.685,600.0740000000001,CL
111,122.2,97.665,600.085,CL
112,122.4,97.645,600.096,CL
113,122.6,97.625,600.107,CL
114,122.8,97.605,600.118,CL
115,123.0,97.585,600.13,CL
116,123.2,97.565,600.142,CL
117,123.4,97.545,600.153,CL
118,123.6,97.525,600.165,CL
119,123.8,97.505,600.1759999999999,CL
120,124.0,97.485,600.1869999999999,CL
121,124.2,97.465,600.1980000000001,CL
122,124.4,97.446,600.2080000000001,CL
123,124.6,97.426,600.2180000000001,CL
124,124.8,97.406,600.2280000000001,CL
125,125.0,97.386,600.237,CL
126,125.2,97.367,600.245,CL
127,125.4,97.347,600.253,CL
128,125.6,97.327,600.26,CL
129,125.8,97.308,600.266,CL
130,126.0,97.288,600.2719999999999,CL
131,126.2,97.269,600.2760000000001,CL
132,126.4,97.249,600.28,CL
133,126.6,97.23,600.283,CL
134,126.8,97.21,600.2860000000001,CL
135,127.0,97.191,600.288,CL
136,127.2,97.171,600.289,CL
137,127.4,97.152,600.289,CL
138,127.6,97.133,600.2909999999999,CL
139,127.8,97.113,600.287,CL
140,128.0,97.094,600.2860000000001,CL
141,128.2,97.075,600.283,CL
142,128.4,97.056,600.281,CL
143,128.6,97.037,600.277,CL
144,128.8,97.017,600.274,CL
145,129.0,96.998,600.27,CL
146,129.2,96.979,600.266,CL
147,129.4,96.96,600.261,CL
148,129.6,96.941,600.257,CL
149,129.8,96.922,600.255,CL
150,130.0,96.903,600.248,CL
151,130.2,96.884,600.243,CL
152,130.4,96.866,600.241,CL
153,130.6,96.847,600.235,CL
154,130.8,96.828,600.231,CL
155,131.0,96.809,600.227,CL
156,131.2,96.79,600.2239999999999,CL
157,131.4,96.772,600.221,CL
158,131.6,96.753,600.2180000000001,CL
159,131.8,96.734,600.217,CL
160,132.0,96.716,600.2149999999999,CL
161,132.2,96.697,600.2139999999999,CL
162,132.4,96.679,600.2139999999999,CL
163,132.6,96.66,600.2139999999999,CL
164,132.8,96.642,600.2149999999999,CL
165,133.0,96.624,600.216,CL
166,133.2,96.605,600.2180000000001,CL
167,133.4,96.587,600.221,CL
168,133.6,96.569,600.227,CL
169,133.8,96.55,600.227,CL
170,134.0,96.532,600.231,CL
171,134.2,96.514,600.238,CL
172,134.4,96.496,600.243,CL
173,134.6,96.478,600.245,CL
174,134.8,96.46,600.253,CL
175,135.0,96.442,600.256,CL
176,135.2,96.424,600.261,CL
177,135.4,96.406,600.267,CL
178,135.6,96.388,600.2719999999999,CL
179,135.8,96.37,600.278,CL
180,136.0,96.352,600.283,CL
