,X,Y,Z,Label
0,100.0,100.0,599.798,CL
1,100.2,100.038,599.797,CL
2,100.4,100.077,599.796,CL
3,100.6,100.115,599.7940000000001,CL
4,100.8,100.153,599.793,CL
5,101.0,100.191,599.7919999999999,CL
6,101.2,100.23,599.7909999999999,CL
7,101.4,100.268,599.79,CL
8,101.6,100.306,599.789,CL
9,101.8,100.345,599.788,CL
10,102.0,100.383,599.787,CL
11,102.2,100.421,599.7860000000001,CL
12,102.4,100.459,599.7850000000001,CL
13,102.6,100.498,599.7850000000001,CL
14,102.8,100.536,599.784,CL
15,103.0,100.574,599.783,CL
16,103.2,100.612,599.783,CL
17,103.4,100.65,599.7819999999999,CL
18,103.6,100.688,599.7819999999999,CL
19,103.8,100.727,599.781,CL
20,104.0,100.765,599.781,CL
21,104.2,100.803,599.78,CL
22,104.4,100.841,599.78,CL
23,104.6,100.879,599.779,CL
24,104.8,100.917,599.779,CL
25,105.0,100.955,599.779,CL
26,105.2,100.993,599.778,CL
27,105.4,101.031,599.781,CL
28,105.6,101.069,599.781,CL
29,105.8,101.107,599.777,CL
30,106.0,101.145,599.777,CL
31,106.2,101.182,599.777,CL
32,106.4,101.22,599.7760000000001,CL
33,106.6,101.258,599.7760000000001,CL
34,106.8,101.296,599.7760000000001,CL
35,107.0,101.333,599.775,CL
36,107.2,101.371,599.775,CL
37,107.4,101.409,599.778,CL
38,107.6,101.446,599.774,CL
39,107.8,101.484,599.774,CL
40,108.0,101.521,599.773,CL
41,108.2,101.559,599.773,CL
42,108.4,101.596,599.773,CL
43,108.6,101.634,599.7719999999999,CL
44,108.8,101.671,599.771,CL
45,109.0,101.708,599.771,CL
46,109.2,101.746,599.77,CL
47,109.4,101.783,599.77,CL
48,109.6,101.82,599.769,CL
49,109.8,101.857,599.768,CL
50,110.0,101.894,599.768,CL
51,110.2,101.931,599.767,CL
52,110.4,101.968,599.766,CL
53,110.6,102.005,599.765,CL
54,110.8,102.042,599.764,CL
55,111.0,102.079,599.763,CL
56,111.2,102.116,599.762,CL
57,111.4,102.152,599.761,CL
58,111.6,102.189,599.759,CL
59,111.8,102.226,599.758,CL
60,112.0,102.262,599.757,CL
61,112.2,102.299,599.755,CL
62,112.4,102.335,599.754,CL
63,112.6,102.371,599.752,CL
64,112.8,102.408,599.751,CL
65,113.0,102.444,599.749,CL
