,X,Y,Z,Label
0,100.0,100.0,599.798,CL
1,100.2,100.039,599.797,CL
2,100.4,100.078,599.7950000000001,CL
3,100.6,100.117,599.793,CL
4,100.8,100.157,599.7919999999999,CL
5,101.0,100.196,599.79,CL
6,101.2,100.235,599.789,CL
7,101.4,100.274,599.787,CL
8,101.6,100.313,599.7860000000001,CL
9,101.8,100.352,599.7850000000001,CL
10,102.0,100.391,599.784,CL
11,102.2,100.43,599.783,CL
12,102.4,100.47,599.7819999999999,CL
13,102.6,100.509,599.781,CL
14,102.8,100.548,599.78,CL
15,103.0,100.587,599.779,CL
16,103.2,100.626,599.778,CL
17,103.4,100.665,599.777,CL
18,103.6,100.704,599.7760000000001,CL
19,103.8,100.743,599.775,CL
20,104.0,100.782,599.775,CL
21,104.2,100.821,599.774,CL
22,104.4,100.86,599.773,CL
23,104.6,100.898,599.7719999999999,CL
24,104.8,100.937,599.7719999999999,CL
25,105.0,100.976,599.771,CL
26,105.2,101.015,599.771,CL
27,105.4,101.054,599.77,CL
28,105.6,101.092,599.769,CL
29,105.8,101.131,599.769,CL
30,106.0,101.17,599.768,CL
31,106.2,101.209,599.767,CL
32,106.4,101.247,599.767,CL
33,106.6,101.286,599.766,CL
34,106.8,101.324,599.766,CL
35,107.0,101.363,599.765,CL
36,107.2,101.401,599.764,CL
37,107.4,101.44,599.764,CL
38,107.6,101.478,599.763,CL
39,107.8,101.516,599.762,CL
40,108.0,101.555,599.762,CL
41,108.2,101.593,599.761,CL
42,108.4,101.631,599.76,CL
43,108.6,101.67,599.759,CL
44,108.8,101.708,599.758,CL
45,109.0,101.746,599.757,CL
46,109.2,101.784,599.756,CL
47,109.4,101.822,599.755,CL
48,109.6,101.86,599.754,CL
49,109.8,101.898,599.753,CL
50,110.0,101.935,599.752,CL
51,110.2,101.973,599.751,CL
52,110.4,102.011,599.75,CL
53,110.6,102.049,599.748,CL
54,110.8,102.086,599.747,CL
55,111.0,102.124,599.746,CL
56,111.2,102.161,599.744,CL
57,111.4,102.199,599.743,CL
58,111.6,102.236,599.741,CL
59,111.8,102.274,599.739,CL
60,112.0,102.311,599.738,CL
61,112.2,102.348,599.736,CL
62,112.4,102.385,599.734,CL
63,112.6,102.422,599.732,CL
64,112.8,102.459,599.73,CL
65,113.0,102.496,599.7280000000001,CL
66,113.2,102.533,599.726,CL
67,113.4,102.57,599.723,CL
68,113.6,102.607,599.721,CL
69,113.8,102.643,599.7180000000001,CL
70,114.0,102.68,599.716,CL
71,114.2,102.716,599.713,CL
72,114.4,102.753,599.71,CL
73,114.6,102.789,599.707,CL
74,114.8,102.825,599.7049999999999,CL
75,115.0,102.862,599.701,CL
76,115.2,102.898,599.6980000000001,CL
77,115.4,102.934,599.6949999999999,CL
78,115.6,102.97,599.692,CL
79,115.8,103.006,599.6880000000001,CL
80,116.0,103.042,599.685,CL
81,116.2,103.077,599.681,CL
82,116.4,103.113,599.6769999999999,CL
83,116.6,103.148,599.673,CL
84,116.8,103.184,599.6690000000001,CL
85,117.0,103.219,599.665,CL
86,117.2,103.255,599.6610000000001,CL
87,117.4,103.29,599.6569999999999,CL
88,117.6,103.325,599.652,CL
89,117.8,103.36,599.648,CL
90,118.0,103.395,599.643,CL
91,118.2,103.43,599.638,CL
92,118.4,103.464,599.633,CL
93,118.6,103.499,599.628,CL
94,118.8,103.534,599.623,CL
95,119.0,103.568,599.618,CL
96,119.2,103.602,599.612,CL
97,119.4,103.637,599.607,CL
98,119.6,103.671,599.601,CL
99,119.8,103.705,599.595,CL
100,120.0,103.739,599.5899999999999,CL
101,120.2,103.773,599.5840000000001,CL
102,120.4,103.806,599.577,CL
103,120.6,103.84,599.5709999999999,CL
104,120.8,103.874,599.565,CL
105,121.0,103.907,599.558,CL
106,121.2,103.94,599.5519999999999,CL
107,121.4,103.973,599.5450000000001,CL
108,121.6,104.007,599.538,CL
109,121.8,104.04,599.531,CL
110,122.0,104.072,599.524,CL
111,122.2,104.105,599.517,CL
112,122.4,104.138,599.51,CL
113,122.6,104.17,599.502,CL
114,122.8,104.203,599.495,CL
115,123.0,104.235,599.487,CL
116,123.2,104.267,599.479,CL
117,123.4,104.299,599.471,CL
118,123.6,104.331,599.463,CL
119,123.8,104.363,599.4549999999999,CL
120,124.0,104.395,599.4469999999999,CL
121,124.2,104.42699999999999,599.4390000000001,CL
122,124.4,104.458,599.4300000000001,CL
123,124.6,104.489,599.422,CL
124,124.8,104.521,599.413,CL
125,125.0,104.55199999999999,599.404,CL
126,125.2,104.583,599.395,CL
127,125.4,104.614,599.386,CL
128,125.6,104.644,599.377,CL
129,125.8,104.675,599.368,CL
130,126.0,104.705,599.359,CL
131,126.2,104.736,599.3489999999999,CL
132,126.4,104.766,599.3399999999999,CL
133,126.6,104.796,599.3299999999999,CL
134,126.8,104.826,599.3209999999999,CL
135,127.0,104.856,599.3109999999999,CL
136,127.2,104.886,599.3009999999999,CL
137,127.4,104.915,599.2909999999999,CL
138,127.6,104.945,599.281,CL
139,127.8,104.974,599.271,CL
140,128.0,105.003,599.261,CL
141,128.2,105.032,599.251,CL
142,128.4,105.061,599.241,CL
143,128.6,105.09,599.23,CL
144,128.8,105.118,599.22,CL
145,129.0,105.147,599.2090000000001,CL
146,129.2,105.175,599.1990000000001,CL
147,129.4,105.203,599.1880000000001,CL
148,129.6,105.231,599.1780000000001,CL
149,129.8,105.259,599.1669999999999,CL
150,130.0,105.287,599.156,CL
151,130.2,105.314,599.145,CL
152,130.4,105.342,599.135,CL
153,130.6,105.369,599.124,CL
154,130.8,105.396,599.113,CL
155,131.0,105.423,599.102,CL
156,131.2,105.45,599.091,CL
157,131.4,105.477,599.0799999999999,CL
158,131.6,105.503,599.069,CL
159,131.8,105.53,599.058,CL
160,132.0,105.556,599.047,CL
161,132.2,105.582,599.0360000000001,CL
162,132.4,105.608,599.024,CL
163,132.6,105.634,599.013,CL
164,132.8,105.659,599.002,CL
165,133.0,105.685,598.991,CL
166,133.2,105.71,598.98,CL
167,133.4,105.735,598.969,CL
168,133.6,105.76,598.9580000000001,CL
169,133.8,105.785,598.9469999999999,CL
170,134.0,105.81,598.9359999999999,CL
171,134.2,105.834,598.925,CL
172,134.4,105.859,598.914,CL
173,134.6,105.883,598.903,CL
174,134.8,105.907,598.892,CL
175,135.0,105.931,598.881,CL
176,135.2,105.955,598.87,CL
177,135.4,105.978,598.859,CL
178,135.6,106.002,598.848,CL
179,135.8,106.025,598.838,CL
180,136.0,106.048,598.827,CL
181,136.2,106.071,598.816,CL
182,136.4,106.094,598.806,CL
183,136.6,106.116,598.7950000000001,CL
184,136.8,106.139,598.7850000000001,CL
185,137.0,106.161,598.775,CL
186,137.2,106.18299999999999,598.764,CL
187,137.4,106.205,598.754,CL
188,137.6,106.226,598.744,CL
189,137.8,106.248,598.734,CL
190,138.0,106.269,598.7239999999999,CL
191,138.2,106.291,598.7139999999999,CL
192,138.4,106.312,598.7049999999999,CL
193,138.6,106.332,598.6949999999999,CL
194,138.8,106.353,598.685,CL
195,139.0,106.374,598.6759999999999,CL
196,139.2,106.394,598.6669999999999,CL
197,139.4,106.414,598.6569999999999,CL
198,139.6,106.434,598.648,CL
199,139.8,106.454,598.639,CL
200,140.0,106.474,598.63,CL
201,140.2,106.493,598.622,CL
202,140.4,106.512,598.613,CL
203,140.6,106.531,598.605,CL
204,140.8,106.55,598.596,CL
205,141.0,106.569,598.588,CL
206,141.2,106.588,598.5799999999999,CL
207,141.4,106.606,598.5719999999999,CL
208,141.6,106.624,598.5640000000001,CL
209,141.8,106.642,598.556,CL
210,142.0,106.66,598.549,CL
211,142.2,106.678,598.5409999999999,CL
212,142.4,106.695,598.534,CL
213,142.6,106.712,598.527,CL
214,142.8,106.729,598.52,CL
215,143.0,106.746,598.513,CL
216,143.2,106.763,598.507,CL
217,143.4,106.78,598.5,CL
218,143.6,106.796,598.494,CL
219,143.8,106.812,598.487,CL
220,144.0,106.828,598.481,CL
221,144.2,106.844,598.475,CL
222,144.4,106.859,598.47,CL
223,144.6,106.875,598.4639999999999,CL
224,144.8,106.89,598.4590000000001,CL
225,145.0,106.905,598.453,CL
226,145.2,106.92,598.4480000000001,CL
227,145.4,106.935,598.443,CL
228,145.6,106.949,598.4390000000001,CL
229,145.8,106.963,598.434,CL
230,146.0,106.977,598.4290000000001,CL
231,146.2,106.991,598.425,CL
232,146.4,107.005,598.421,CL
233,146.6,107.019,598.4169999999999,CL
234,146.8,107.032,598.413,CL
235,147.0,107.045,598.409,CL
236,147.2,107.05799999999999,598.406,CL
237,147.4,107.071,598.403,CL
238,147.6,107.083,598.399,CL
239,147.8,107.095,598.396,CL
240,148.0,107.108,598.393,CL
241,148.2,107.12,598.391,CL
242,148.4,107.131,598.388,CL
243,148.6,107.143,598.385,CL
244,148.8,107.154,598.383,CL
245,149.0,107.165,598.381,CL
246,149.2,107.176,598.379,CL
247,149.4,107.187,598.377,CL
248,149.6,107.198,598.375,CL
249,149.8,107.208,598.373,CL
250,150.0,107.218,598.372,CL
251,150.2,107.228,598.37,CL
252,150.4,107.238,598.369,CL
253,150.6,107.248,598.368,CL
254,150.8,107.257,598.367,CL
255,151.0,107.266,598.366,CL
