X,Y,Z,Label
0.0,0.0,499.798,CL
0.2,-0.038,499.802,CL
0.4,-0.077,499.806,CL
0.6,-0.115,499.81,CL
0.8,-0.153,499.814,CL
1.0,-0.191,499.819,CL
1.2,-0.23,499.823,CL
1.4,-0.268,499.827,CL
1.6,-0.306,499.832,CL
1.8,-0.345,499.836,CL
2.0,-0.383,499.84,CL
2.2,-0.421,499.845,CL
2.4,-0.459,499.85,CL
2.6,-0.498,499.854,CL
2.8,-0.536,499.859,CL
3.0,-0.574,499.864,CL
3.2,-0.612,499.868,CL
3.4,-0.65,499.873,CL
3.6,-0.688,499.878,CL
3.8,-0.727,499.883,CL
4.0,-0.765,499.888,CL
4.2,-0.803,499.893,CL
4.4,-0.841,499.898,CL
4.6,-0.879,499.903,CL
4.8,-0.917,499.908,CL
5.0,-0.955,499.913,CL
5.2,-0.993,499.918,CL
5.4,-1.031,499.923,CL
5.6,-1.069,499.928,CL
5.8,-1.107,499.933,CL
6.0,-1.145,499.938,CL
6.2,-1.182,499.943,CL
6.4,-1.22,499.948,CL
6.6,-1.258,499.953,CL
6.8,-1.296,499.958,CL
7.0,-1.333,499.963,CL
7.2,-1.371,499.968,CL
7.4,-1.409,499.973,CL
7.6,-1.446,499.978,CL
7.8,-1.484,499.983,CL
8.0,-1.521,499.988,CL
8.2,-1.559,499.993,CL
8.4,-1.596,499.998,CL
8.6,-1.634,500.003,CL
8.8,-1.671,500.007,CL
9.0,-1.708,500.012,CL
9.2,-1.746,500.017,CL
9.4,-1.783,500.022,CL
9.6,-1.82,500.026,CL
9.8,-1.857,500.031,CL
10.0,-1.894,500.036,CL
10.2,-1.931,500.04,CL
10.4,-1.968,500.045,CL
10.6,-2.005,500.049,CL
10.8,-2.042,500.053,CL
11.0,-2.079,500.058,CL
11.2,-2.116,500.062,CL
11.4,-2.152,500.066,CL
11.6,-2.189,500.07,CL
11.8,-2.226,500.074,CL
12.0,-2.262,500.079,CL
12.2,-2.299,500.082,CL
12.4,-2.335,500.086,CL
12.6,-2.371,500.09,CL
12.8,-2.408,500.096,CL
13.0,-2.444,500.098,CL
13.2,-2.48,500.101,CL
13.4,-2.516,500.105,CL
13.6,-2.552,500.108,CL
13.8,-2.588,500.111,CL
14.0,-2.624,500.115,CL
14.2,-2.66,500.118,CL
14.4,-2.696,500.121,CL
14.6,-2.731,500.124,CL
14.8,-2.767,500.127,CL
15.0,-2.803,500.13,CL
15.2,-2.838,500.132,CL
15.4,-2.873,500.135,CL
15.6,-2.909,500.137,CL
15.8,-2.944,500.14,CL
16.0,-2.979,500.142,CL
16.2,-3.014,500.144,CL
16.4,-3.049,500.147,CL
16.6,-3.084,500.149,CL
16.8,-3.119,500.151,CL
17.0,-3.154,500.152,CL
17.2,-3.188,500.154,CL
17.4,-3.223,500.156,CL
17.6,-3.258,500.157,CL
17.8,-3.292,500.159,CL
18.0,-3.326,500.16,CL
18.2,-3.361,500.161,CL
18.4,-3.395,500.162,CL
18.6,-3.429,500.163,CL
18.8,-3.463,500.164,CL
19.0,-3.497,500.165,CL
19.2,-3.53,500.165,CL
19.4,-3.564,500.166,CL
19.6,-3.598,500.166,CL
19.8,-3.631,500.166,CL
20.0,-3.665,500.166,CL
20.2,-3.698,500.167,CL
20.4,-3.731,500.166,CL
20.6,-3.764,500.166,CL
20.8,-3.797,500.166,CL
21.0,-3.83,500.166,CL
21.2,-3.863,500.165,CL
21.4,-3.896,500.164,CL
21.6,-3.929,500.164,CL
21.8,-3.961,500.163,CL
22.0,-3.994,500.162,CL
22.2,-4.026,500.161,CL
22.4,-4.058,500.159,CL
22.6,-4.09,500.158,CL
22.8,-4.122,500.157,CL
23.0,-4.154,500.155,CL
23.2,-4.186,500.153,CL
23.4,-4.218,500.151,CL
23.6,-4.249,500.15,CL
23.8,-4.281,500.148,CL
24.0,-4.312,500.145,CL
24.2,-4.343,500.143,CL
24.4,-4.374,500.141,CL
24.6,-4.405,500.138,CL
24.8,-4.436,500.136,CL
25.0,-4.467,500.133,CL
25.2,-4.497,500.13,CL
25.4,-4.528,500.128,CL
25.6,-4.558,500.125,CL
25.8,-4.589,500.122,CL
26.0,-4.619,500.118,CL
26.2,-4.649,500.115,CL
26.4,-4.679,500.112,CL
26.6,-4.709,500.108,CL
26.8,-4.738,500.105,CL
27.0,-4.768,500.101,CL
27.2,-4.797,500.097,CL
27.4,-4.827,500.094,CL
27.6,-4.856,500.09,CL
27.8,-4.885,500.086,CL
28.0,-4.914,500.082,CL
28.2,-4.942,500.078,CL
28.4,-4.971,500.073,CL
28.6,-5.0,500.069,CL
28.8,-5.028,500.065,CL
29.0,-5.056,500.06,CL
29.2,-5.084,500.056,CL
29.4,-5.112,500.051,CL
29.6,-5.14,500.047,CL
29.8,-5.168,500.042,CL
30.0,-5.196,500.037,CL
30.2,-5.223,500.033,CL
30.4,-5.25,500.028,CL
30.6,-5.278,500.023,CL
30.8,-5.305,500.018,CL
31.0,-5.332,500.013,CL
31.2,-5.358,500.008,CL
31.4,-5.385,500.003,CL
31.6,-5.411,499.998,CL
31.8,-5.438,499.993,CL
32.0,-5.464,499.988,CL
32.2,-5.49,499.983,CL
32.4,-5.516,499.978,CL
32.6,-5.542,499.972,CL
32.8,-5.567,499.967,CL
33.0,-5.593,499.962,CL
33.2,-5.618,499.957,CL
33.4,-5.643,499.952,CL
33.6,-5.668,499.946,CL
33.8,-5.693,499.941,CL
34.0,-5.718,499.936,CL
34.2,-5.742,499.931,CL
34.4,-5.767,499.925,CL
34.6,-5.791,499.92,CL
34.8,-5.815,499.915,CL
35.0,-5.839,499.91,CL
35.2,-5.863,499.905,CL
35.4,-5.887,499.9,CL
35.6,-5.91,499.895,CL
35.8,-5.933,499.89,CL
36.0,-5.957,499.885,CL
36.2,-5.98,499.88,CL
36.4,-6.003,499.875,CL
36.6,-6.025,499.87,CL
36.8,-6.048,499.865,CL
37.0,-6.07,499.86,CL
37.2,-6.093,499.856,CL
37.4,-6.115,499.851,CL
37.6,-6.137,499.846,CL
37.8,-6.158,499.842,CL
38.0,-6.18,499.838,CL
38.2,-6.201,499.833,CL
38.4,-6.223,499.829,CL
38.6,-6.244,499.825,CL
38.8,-6.265,499.821,CL
39.0,-6.285,499.817,CL
39.2,-6.306,499.813,CL
39.4,-6.326,499.809,CL
39.6,-6.347,499.805,CL
39.8,-6.367,499.801,CL
40.0,-6.387,499.798,CL
40.2,-6.407,499.794,CL
40.4,-6.426,499.791,CL
40.6,-6.446,499.788,CL
40.8,-6.465,499.785,CL
41.0,-6.484,499.782,CL
41.2,-6.503,499.779,CL
41.4,-6.522,499.776,CL
41.6,-6.54,499.774,CL
41.8,-6.559,499.771,CL
42.0,-6.577,499.769,CL
42.2,-6.595,499.766,CL
42.4,-6.613,499.764,CL
42.6,-6.631,499.762,CL
42.8,-6.648,499.761,CL
43.0,-6.666,499.759,CL
43.2,-6.683,499.757,CL
43.4,-6.7,499.756,CL
43.6,-6.717,499.754,CL
43.8,-6.733,499.753,CL
44.0,-6.75,499.752,CL
44.2,-6.766,499.751,CL
44.4,-6.782,499.751,CL
44.6,-6.798,499.75,CL
44.8,-6.814,499.75,CL
45.0,-6.83,499.749,CL
45.2,-6.845,499.749,CL
45.4,-6.86,499.749,CL
45.6,-6.875,499.749,CL
45.8,-6.89,499.75,CL
46.0,-6.905,499.75,CL
46.2,-6.92,499.751,CL
46.4,-6.934,499.752,CL
46.6,-6.948,499.753,CL
46.8,-6.962,499.754,CL
47.0,-6.976,499.755,CL
47.2,-6.989,499.756,CL
47.4,-7.003,499.758,CL
47.6,-7.016,499.76,CL
47.8,-7.029,499.761,CL
48.0,-7.042,499.763,CL
48.2,-7.055,499.765,CL
48.4,-7.067,499.768,CL
48.6,-7.08,499.77,CL
48.8,-7.092,499.773,CL
49.0,-7.104,499.775,CL
49.2,-7.115,499.778,CL
49.4,-7.127,499.781,CL
49.6,-7.138,499.784,CL
49.8,-7.15,499.788,CL
50.0,-7.161,499.791,CL
50.2,-7.171,499.795,CL
50.4,-7.182,499.798,CL
50.6,-7.192,499.802,CL
50.8,-7.203,499.806,CL
51.0,-7.213,499.81,CL
51.2,-7.223,499.814,CL
51.4,-7.232,499.819,CL
51.6,-7.242,499.823,CL
51.8,-7.251,499.828,CL
52.0,-7.26,499.832,CL
52.2,-7.269,499.837,CL
52.4,-7.278,499.842,CL
52.6,-7.286,499.847,CL
52.8,-7.295,499.852,CL
53.0,-7.303,499.857,CL
53.2,-7.311,499.862,CL
53.4,-7.319,499.868,CL
53.6,-7.326,499.873,CL
53.8,-7.334,499.879,CL
54.0,-7.341,499.884,CL
54.2,-7.348,499.89,CL
54.4,-7.355,499.896,CL
54.6,-7.361,499.902,CL
54.8,-7.368,499.907,CL
55.0,-7.374,499.913,CL
55.2,-7.38,499.919,CL
55.4,-7.386,499.926,CL
55.6,-7.391,499.932,CL
55.8,-7.397,499.938,CL
56.0,-7.402,499.944,CL
56.2,-7.407,499.95,CL
56.4,-7.412,499.957,CL
56.6,-7.417,499.963,CL
56.8,-7.421,499.969,CL
57.0,-7.425,499.976,CL
57.2,-7.429,499.982,CL
57.4,-7.433,499.989,CL
57.6,-7.437,499.995,CL
57.8,-7.441,500.002,CL
58.0,-7.444,500.008,CL
58.2,-7.447,500.014,CL
58.4,-7.45,500.021,CL
58.6,-7.453,500.027,CL
58.8,-7.455,500.034,CL
59.0,-7.457,500.04,CL
59.2,-7.46,500.047,CL
59.4,-7.461,500.053,CL
59.6,-7.463,500.059,CL
59.8,-7.465,500.066,CL
60.0,-7.466,500.072,CL
60.2,-7.467,500.078,CL
60.4,-7.468,500.085,CL
60.6,-7.469,500.091,CL
60.8,-7.469,500.097,CL
61.0,-7.47,500.103,CL
61.2,-7.47,500.109,CL
61.4,-7.47,500.115,CL
61.6,-7.47,500.121,CL
61.8,-7.469,500.127,CL
62.0,-7.469,500.132,CL
62.2,-7.468,500.138,CL
62.4,-7.467,500.144,CL
62.6,-7.466,500.149,CL
62.8,-7.464,500.154,CL
63.0,-7.463,500.16,CL
63.2,-7.461,500.165,CL
63.4,-7.459,500.17,CL
63.6,-7.457,500.175,CL
63.8,-7.454,500.18,CL
64.0,-7.452,500.185,CL
64.2,-7.449,500.19,CL
64.4,-7.446,500.195,CL
64.6,-7.443,500.199,CL
64.8,-7.439,500.203,CL
65.0,-7.436,500.208,CL
65.2,-7.432,500.212,CL
65.4,-7.428,500.216,CL
65.6,-7.424,500.22,CL
65.8,-7.42,500.224,CL
66.0,-7.415,500.228,CL
66.2,-7.41,500.231,CL
66.4,-7.405,500.235,CL
66.6,-7.4,500.238,CL
66.8,-7.395,500.241,CL
67.0,-7.389,500.244,CL
67.2,-7.384,500.247,CL
67.4,-7.378,500.25,CL
67.6,-7.372,500.253,CL
67.8,-7.365,500.256,CL
68.0,-7.359,500.258,CL
68.2,-7.352,500.26,CL
68.4,-7.345,500.262,CL
68.6,-7.338,500.265,CL
68.8,-7.331,500.266,CL
69.0,-7.324,500.268,CL
69.2,-7.316,500.27,CL
69.4,-7.308,500.271,CL
69.6,-7.3,500.273,CL
69.8,-7.292,500.274,CL
70.0,-7.284,500.275,CL
70.2,-7.275,500.276,CL
70.4,-7.266,500.277,CL
70.6,-7.257,500.278,CL
70.8,-7.248,500.278,CL
71.0,-7.239,500.279,CL
71.2,-7.229,500.279,CL
71.4,-7.219,500.279,CL
71.6,-7.209,500.279,CL
71.8,-7.199,500.279,CL
72.0,-7.189,500.279,CL
72.2,-7.178,500.278,CL
72.4,-7.168,500.278,CL
72.6,-7.157,500.277,CL
72.8,-7.146,500.277,CL
73.0,-7.135,500.276,CL
73.2,-7.123,500.275,CL
73.4,-7.111,500.274,CL
73.6,-7.1,500.273,CL
73.8,-7.088,500.272,CL
74.0,-7.075,500.27,CL
74.2,-7.063,500.269,CL
74.4,-7.051,500.267,CL
74.6,-7.038,500.266,CL
74.8,-7.025,500.264,CL
75.0,-7.012,500.262,CL
75.2,-6.998,500.26,CL
75.4,-6.985,500.258,CL
75.6,-6.971,500.256,CL
75.8,-6.957,500.254,CL
76.0,-6.943,500.251,CL
76.2,-6.929,500.249,CL
76.4,-6.915,500.246,CL
76.6,-6.9,500.244,CL
76.8,-6.885,500.241,CL
77.0,-6.87,500.239,CL
77.2,-6.855,500.236,CL
77.4,-6.84,500.233,CL
77.6,-6.825,500.23,CL
77.8,-6.809,500.227,CL
78.0,-6.793,500.224,CL
78.2,-6.777,500.221,CL
78.4,-6.761,500.218,CL
78.6,-6.744,500.215,CL
78.8,-6.728,500.212,CL
79.0,-6.711,500.208,CL
79.2,-6.694,500.205,CL
79.4,-6.677,500.202,CL
79.6,-6.66,500.199,CL
79.8,-6.642,500.195,CL
80.0,-6.625,500.192,CL
80.2,-6.607,500.188,CL
80.4,-6.589,500.185,CL
80.6,-6.571,500.181,CL
80.8,-6.553,500.178,CL
81.0,-6.534,500.174,CL
81.2,-6.516,500.171,CL
81.4,-6.497,500.167,CL
81.6,-6.478,500.164,CL
81.8,-6.459,500.16,CL
82.0,-6.439,500.157,CL
82.2,-6.42,500.153,CL
82.4,-6.4,500.149,CL
82.6,-6.38,500.146,CL
82.8,-6.36,500.142,CL
83.0,-6.34,500.139,CL
83.2,-6.32,500.135,CL
83.4,-6.299,500.132,CL
83.6,-6.279,500.128,CL
83.8,-6.258,500.125,CL
84.0,-6.237,500.121,CL
84.2,-6.216,500.118,CL
84.4,-6.194,500.114,CL
84.6,-6.173,500.111,CL
84.8,-6.151,500.107,CL
85.0,-6.129,500.104,CL
85.2,-6.107,500.101,CL
85.4,-6.085,500.097,CL
85.6,-6.063,500.094,CL
85.8,-6.04,500.091,CL
86.0,-6.018,500.087,CL
86.2,-5.995,500.084,CL
86.4,-5.972,500.081,CL
86.6,-5.949,500.078,CL
86.8,-5.926,500.075,CL
87.0,-5.902,500.072,CL
87.2,-5.879,500.069,CL
87.4,-5.855,500.066,CL
87.6,-5.831,500.063,CL
87.8,-5.807,500.06,CL
88.0,-5.783,500.057,CL
88.2,-5.759,500.054,CL
88.4,-5.734,500.051,CL
88.6,-5.71,500.048,CL
88.8,-5.685,500.045,CL
89.0,-5.66,500.043,CL
89.2,-5.635,500.04,CL
89.4,-5.61,500.037,CL
89.6,-5.584,500.034,CL
89.8,-5.559,500.032,CL
90.0,-5.533,500.029,CL
90.2,-5.507,500.027,CL
90.4,-5.481,500.024,CL
90.6,-5.455,500.022,CL
90.8,-5.429,500.019,CL
91.0,-5.403,500.017,CL
91.2,-5.376,500.014,CL
91.4,-5.349,500.012,CL
91.6,-5.323,500.01,CL
91.8,-5.296,500.008,CL
92.0,-5.269,500.005,CL
92.2,-5.241,500.003,CL
92.4,-5.214,500.001,CL
92.6,-5.186,499.999,CL
92.8,-5.159,499.996,CL
93.0,-5.131,499.994,CL
93.2,-5.103,499.992,CL
93.4,-5.075,499.99,CL
93.6,-5.047,499.988,CL
93.8,-5.019,499.986,CL
94.0,-4.99,499.984,CL
94.2,-4.962,499.982,CL
94.4,-4.933,499.98,CL
94.6,-4.904,499.978,CL
94.8,-4.875,499.976,CL
95.0,-4.846,499.974,CL
95.2,-4.817,499.972,CL
95.4,-4.787,499.97,CL
95.6,-4.758,499.968,CL
