,X,Y,Z,Label
0,100.0,100.0,599.798,CL
1,100.2,99.962,599.8019999999999,CL
2,100.4,99.923,599.806,CL
3,100.6,99.885,599.81,CL
4,100.8,99.847,599.8140000000001,CL
5,101.0,99.809,599.819,CL
6,101.2,99.77,599.8230000000001,CL
7,101.4,99.732,599.827,CL
8,101.6,99.694,599.832,CL
9,101.8,99.655,599.836,CL
10,102.0,99.617,599.8399999999999,CL
11,102.2,99.579,599.845,CL
12,102.4,99.541,599.85,CL
13,102.6,99.502,599.854,CL
14,102.8,99.464,599.859,CL
15,103.0,99.426,599.864,CL
16,103.2,99.388,599.868,CL
17,103.4,99.35,599.873,CL
18,103.6,99.312,599.878,CL
19,103.8,99.273,599.883,CL
20,104.0,99.235,599.888,CL
21,104.2,99.197,599.893,CL
22,104.4,99.159,599.898,CL
23,104.6,99.121,599.903,CL
24,104.8,99.083,599.908,CL
25,105.0,99.045,599.913,CL
26,105.2,99.007,599.918,CL
27,105.4,98.969,599.923,CL
28,105.6,98.931,599.9280000000001,CL
29,105.8,98.893,599.933,CL
30,106.0,98.855,599.9380000000001,CL
31,106.2,98.818,599.943,CL
32,106.4,98.78,599.9480000000001,CL
33,106.6,98.742,599.953,CL
34,106.8,98.704,599.9580000000001,CL
35,107.0,98.667,599.963,CL
36,107.2,98.629,599.9680000000001,CL
37,107.4,98.591,599.973,CL
38,107.6,98.554,599.9780000000001,CL
39,107.8,98.516,599.983,CL
40,108.0,98.479,599.988,CL
41,108.2,98.441,599.993,CL
42,108.4,98.404,599.998,CL
43,108.6,98.366,600.003,CL
44,108.8,98.329,600.007,CL
45,109.0,98.292,600.012,CL
46,109.2,98.254,600.017,CL
47,109.4,98.217,600.0219999999999,CL
48,109.6,98.18,600.0260000000001,CL
49,109.8,98.143,600.031,CL
50,110.0,98.106,600.0360000000001,CL
51,110.2,98.069,600.04,CL
52,110.4,98.032,600.0450000000001,CL
53,110.6,97.995,600.049,CL
54,110.8,97.958,600.0530000000001,CL
55,111.0,97.921,600.058,CL
56,111.2,97.884,600.0619999999999,CL
57,111.4,97.848,600.066,CL
58,111.6,97.811,600.0699999999999,CL
59,111.8,97.774,600.0740000000001,CL
60,112.0,97.738,600.079,CL
61,112.2,97.701,600.082,CL
62,112.4,97.665,600.086,CL
63,112.6,97.629,600.0899999999999,CL
64,112.8,97.592,600.096,CL
65,113.0,97.556,600.098,CL
66,113.2,97.52,600.101,CL
67,113.4,97.484,600.105,CL
68,113.6,97.448,600.108,CL
69,113.8,97.412,600.111,CL
70,114.0,97.376,600.115,CL
71,114.2,97.34,600.118,CL
72,114.4,97.304,600.121,CL
73,114.6,97.269,600.124,CL
74,114.8,97.233,600.127,CL
75,115.0,97.197,600.13,CL
76,115.2,97.162,600.132,CL
77,115.4,97.127,600.135,CL
78,115.6,97.091,600.137,CL
