,X,Y,Z,Label
0,100.0,100.0,599.798,CL
1,100.2,100.038,599.8,CL
2,100.4,100.077,599.8019999999999,CL
3,100.6,100.115,599.8050000000001,CL
4,100.8,100.153,599.807,CL
5,101.0,100.191,599.809,CL
6,101.2,100.23,599.8109999999999,CL
7,101.4,100.268,599.8140000000001,CL
8,101.6,100.306,599.816,CL
9,101.8,100.345,599.819,CL
10,102.0,100.383,599.8209999999999,CL
11,102.2,100.421,599.8240000000001,CL
12,102.4,100.459,599.826,CL
13,102.6,100.498,599.829,CL
14,102.8,100.536,599.832,CL
15,103.0,100.574,599.835,CL
16,103.2,100.612,599.838,CL
17,103.4,100.65,599.8399999999999,CL
18,103.6,100.688,599.8430000000001,CL
19,103.8,100.727,599.846,CL
20,104.0,100.765,599.8489999999999,CL
21,104.2,100.803,599.852,CL
22,104.4,100.841,599.855,CL
23,104.6,100.879,599.858,CL
24,104.8,100.917,599.861,CL
25,105.0,100.955,599.865,CL
26,105.2,100.993,599.868,CL
27,105.4,101.031,599.871,CL
28,105.6,101.069,599.874,CL
29,105.8,101.107,599.877,CL
30,106.0,101.145,599.88,CL
31,106.2,101.182,599.883,CL
32,106.4,101.22,599.886,CL
33,106.6,101.258,599.889,CL
34,106.8,101.296,599.893,CL
35,107.0,101.333,599.896,CL
36,107.2,101.371,599.899,CL
37,107.4,101.409,599.902,CL
38,107.6,101.446,599.905,CL
39,107.8,101.484,599.908,CL
40,108.0,101.521,599.9110000000001,CL
41,108.2,101.559,599.914,CL
42,108.4,101.596,599.9169999999999,CL
43,108.6,101.634,599.9200000000001,CL
44,108.8,101.671,599.923,CL
45,109.0,101.708,599.9259999999999,CL
46,109.2,101.746,599.9280000000001,CL
47,109.4,101.783,599.931,CL
48,109.6,101.82,599.934,CL
49,109.8,101.857,599.9369999999999,CL
50,110.0,101.894,599.9390000000001,CL
51,110.2,101.931,599.942,CL
52,110.4,101.968,599.9449999999999,CL
53,110.6,102.005,599.9469999999999,CL
54,110.8,102.042,599.95,CL
55,111.0,102.079,599.952,CL
56,111.2,102.116,599.954,CL
57,111.4,102.152,599.957,CL
58,111.6,102.189,599.9590000000001,CL
59,111.8,102.226,599.961,CL
60,112.0,102.262,599.963,CL
61,112.2,102.299,599.9649999999999,CL
62,112.4,102.335,599.967,CL
63,112.6,102.371,599.969,CL
64,112.8,102.408,599.971,CL
65,113.0,102.444,599.973,CL
66,113.2,102.48,599.9739999999999,CL
67,113.4,102.516,599.976,CL
68,113.6,102.552,599.977,CL
69,113.8,102.588,599.979,CL
70,114.0,102.624,599.98,CL
71,114.2,102.66,599.981,CL
72,114.4,102.696,599.982,CL
73,114.6,102.731,599.984,CL
74,114.8,102.767,599.985,CL
75,115.0,102.803,599.985,CL
76,115.2,102.838,599.986,CL
77,115.4,102.873,599.987,CL
78,115.6,102.909,599.987,CL
79,115.8,102.944,599.988,CL
80,116.0,102.979,599.988,CL
81,116.2,103.014,599.989,CL
82,116.4,103.049,599.989,CL
83,116.6,103.084,599.989,CL
84,116.8,103.119,599.989,CL
85,117.0,103.154,599.989,CL
86,117.2,103.188,599.989,CL
87,117.4,103.223,599.988,CL
88,117.6,103.258,599.988,CL
89,117.8,103.292,599.987,CL
90,118.0,103.326,599.987,CL
91,118.2,103.361,599.986,CL
92,118.4,103.395,599.985,CL
93,118.6,103.429,599.984,CL
94,118.8,103.463,599.983,CL
95,119.0,103.497,599.982,CL
96,119.2,103.53,599.981,CL
97,119.4,103.564,599.979,CL
98,119.6,103.598,599.9780000000001,CL
99,119.8,103.631,599.976,CL
100,120.0,103.665,599.9739999999999,CL
101,120.2,103.698,599.972,CL
102,120.4,103.731,599.97,CL
103,120.6,103.764,599.9680000000001,CL
104,120.8,103.797,599.966,CL
105,121.0,103.83,599.9639999999999,CL
106,121.2,103.863,599.961,CL
107,121.4,103.896,599.9590000000001,CL
108,121.6,103.929,599.9559999999999,CL
109,121.8,103.961,599.953,CL
110,122.0,103.994,599.95,CL
111,122.2,104.026,599.9469999999999,CL
112,122.4,104.05799999999999,599.944,CL
113,122.6,104.09,599.941,CL
114,122.8,104.122,599.9369999999999,CL
115,123.0,104.154,599.934,CL
116,123.2,104.186,599.9300000000001,CL
117,123.4,104.218,599.9269999999999,CL
118,123.6,104.249,599.923,CL
119,123.8,104.281,599.9190000000001,CL
120,124.0,104.312,599.915,CL
121,124.2,104.343,599.9110000000001,CL
122,124.4,104.374,599.906,CL
123,124.6,104.405,599.902,CL
124,124.8,104.436,599.8969999999999,CL
125,125.0,104.467,599.893,CL
126,125.2,104.497,599.888,CL
127,125.4,104.528,599.883,CL
128,125.6,104.55799999999999,599.879,CL
129,125.8,104.589,599.874,CL
130,126.0,104.619,599.868,CL
131,126.2,104.649,599.863,CL
132,126.4,104.679,599.858,CL
133,126.6,104.709,599.8530000000001,CL
134,126.8,104.738,599.847,CL
135,127.0,104.768,599.842,CL
136,127.2,104.797,599.836,CL
137,127.4,104.827,599.8299999999999,CL
138,127.6,104.856,599.825,CL
139,127.8,104.885,599.819,CL
140,128.0,104.914,599.8130000000001,CL
141,128.2,104.94200000000001,599.807,CL
142,128.4,104.971,599.8009999999999,CL
143,128.6,105.0,599.7940000000001,CL
144,128.8,105.028,599.788,CL
145,129.0,105.056,599.7819999999999,CL
146,129.2,105.084,599.775,CL
147,129.4,105.112,599.769,CL
148,129.6,105.14,599.762,CL
149,129.8,105.168,599.756,CL
150,130.0,105.196,599.749,CL
151,130.2,105.223,599.742,CL
152,130.4,105.25,599.736,CL
153,130.6,105.278,599.729,CL
154,130.8,105.305,599.722,CL
155,131.0,105.332,599.7149999999999,CL
156,131.2,105.358,599.7080000000001,CL
157,131.4,105.385,599.701,CL
158,131.6,105.411,599.694,CL
159,131.8,105.438,599.6869999999999,CL
160,132.0,105.464,599.6800000000001,CL
161,132.2,105.49,599.673,CL
162,132.4,105.516,599.6659999999999,CL
163,132.6,105.542,599.659,CL
164,132.8,105.56700000000001,599.652,CL
165,133.0,105.593,599.645,CL
166,133.2,105.618,599.638,CL
167,133.4,105.643,599.631,CL
168,133.6,105.668,599.623,CL
169,133.8,105.693,599.616,CL
170,134.0,105.718,599.609,CL
171,134.2,105.742,599.602,CL
172,134.4,105.767,599.595,CL
173,134.6,105.791,599.588,CL
174,134.8,105.815,599.5809999999999,CL
175,135.0,105.839,599.5740000000001,CL
176,135.2,105.863,599.567,CL
177,135.4,105.887,599.56,CL
178,135.6,105.91,599.5530000000001,CL
179,135.8,105.93299999999999,599.546,CL
180,136.0,105.957,599.539,CL
181,136.2,105.98,599.5319999999999,CL
182,136.4,106.003,599.525,CL
183,136.6,106.025,599.518,CL
184,136.8,106.048,599.511,CL
185,137.0,106.07,599.505,CL
186,137.2,106.093,599.498,CL
187,137.4,106.115,599.492,CL
188,137.6,106.137,599.485,CL
189,137.8,106.158,599.479,CL
190,138.0,106.18,599.472,CL
191,138.2,106.201,599.466,CL
192,138.4,106.223,599.46,CL
193,138.6,106.244,599.454,CL
194,138.8,106.265,599.4480000000001,CL
195,139.0,106.285,599.442,CL
196,139.2,106.306,599.4359999999999,CL
197,139.4,106.326,599.4300000000001,CL
198,139.6,106.347,599.425,CL
199,139.8,106.367,599.4190000000001,CL
200,140.0,106.387,599.414,CL
201,140.2,106.407,599.408,CL
202,140.4,106.426,599.403,CL
203,140.6,106.446,599.398,CL
204,140.8,106.465,599.393,CL
205,141.0,106.484,599.388,CL
206,141.2,106.503,599.383,CL
207,141.4,106.522,599.378,CL
208,141.6,106.54,599.374,CL
209,141.8,106.559,599.37,CL
210,142.0,106.577,599.365,CL
211,142.2,106.595,599.361,CL
