FID,ET_ANGLE,ET_STATION,length_ft
92,7.232226128,184,59.8736992
91,7.232226128,182,59.5285988
90,7.232226128,180,56.6100006
89,7.232226128,178,57.875
88,7.232226128,176,56.2215004
87,7.232226128,174,57.875
86,7.232226128,172,59.5285988
85,7.232226128,170,71.1035995
84,7.232226128,168,67.7965012
83,7.232226128,166,69.4499969
82,7.232226128,164,74.4107971
81,7.232226128,162,74.4107971
80,7.232226128,160,72.7572021
79,7.232226128,158,74.4107971
78,7.232226128,156,71.1035995
77,7.232226128,154,66.1428986
76,22.07868059,152,76.1199036
75,22.07868059,150,74.3497009
74,22.07868059,148,74.5000992
73,22.07868059,146,76.1199036
72,22.07868059,144,81.430603
71,22.07868059,142,81.430603
70,22.07868059,140,82.6772003
69,22.07868059,138,81.430603
68,22.07868059,136,77.8900986
67,22.07868059,134,79.6604004
66,22.07868059,132,81.6383972
65,22.07868059,130,78.7828979
64,22.07868059,128,79.6604004
63,22.9887168,126,78.405098
62,22.9887168,124,78.405098
61,22.9887168,122,76.6231995
60,22.9887168,120,74.841301
59,22.9887168,118,69.2108994
58,22.9887168,116,65.9316025
57,22.9887168,114,58.8037987
56,33.69006753,112,56.5122986
55,33.69006753,110,58.1603012
54,33.69006753,108,53.7084007
53,33.69006753,106,50.3348999
52,33.69006753,104,53.2314987
51,33.69006753,102,55.2029991
50,33.69006753,100,51.2598991
49,33.69006753,98,53.2314987
48,33.69006753,96,50.2742004
47,33.69006753,94,47.3168983
46,23.02787289,92,46.1287003
45,23.02787289,90,42.778801
44,38.10656476,88,45.8644981
43,38.10656476,86,37.5255013
42,38.10656476,84,39.2989006
41,37.58802728,82,34.4497986
40,37.58802728,80,34.9556999
39,37.58802728,78,37.2625999
38,38.98321548,76,37.2458992
37,38.98321548,74,31.6548004
36,38.98321548,72,35.8754997
35,38.98321548,70,37.9858017
34,38.98321548,68,37.9858017
33,38.98321548,66,38.8133011
32,38.98321548,64,42.1565018
31,38.98321548,62,40.9700012
30,38.98321548,60,45.0181999
29,38.98321548,58,42.2064018
28,38.98321548,56,42.2064018
27,38.98321548,54,42.1108017
26,38.98321548,52,38.1285019
25,38.98321548,50,42.2064018
24,29.04382598,48,43.9266014
23,29.04382598,46,43.156601
22,29.04382598,44,41.9347992
21,29.04382598,42,43.156601
20,29.04382598,40,40.1314011
19,29.04382598,38,40.4374008
18,29.04382598,36,35.6511002
17,29.04382598,34,37.6450996
16,29.04382598,32,41.280201
15,29.04382598,30,39.403801
14,29.04382598,28,37.2288017
13,29.04382598,26,37.3995018
12,23.22394666,24,35.9449005
11,23.22394666,22,37.4861984
10,23.22394666,20,35.7011986
9,23.22394666,18,39.2713013
8,23.22394666,16,40.8582001
7,23.22394666,14,37.0159988
6,23.22394666,12,32.1310997
5,23.22394666,10,33.9160995
4,23.22394666,8,32.1310997
3,23.22394666,6,33.0693016
2,23.22394666,4,30.3460007
1,23.22394666,2,26.4428005
0,23.22394666,0,12.4954004
