Station (m),Wbf (m),Zd (m),Wbase (m)
920,91.2475176,-0.45,8.398336975
910,90.72158455,-0.65,11.93907727
900,86.2736409,-0.55,19.36394446
890,88.2015,-0.45,21.34834379
880,85.6815666,0.05,22.23668339
870,88.2015,-0.1,20.8533492
860,90.72158455,-0.6,24.0168684
850,108.3618857,-0.7,24.0168684
840,103.3218679,-0.35,21.34834379
830,105.8417953,-0.1,23.4548169
820,113.4020548,0.25,24.87396722
810,113.4020548,0,24.87396722
800,110.881976,-0.2,22.11019261
790,113.4020548,0.45,19.346418
780,108.3618857,0.05,30.40151355
770,100.8017775,-0.1,30.44357777
760,116.0067331,-0.15,24.94848884
750,113.3089442,-0.05,24.3548913
740,113.5381512,-0.2,28.07421375
730,116.0067331,-0.45,35.1429828
720,124.100239,-0.95,29.22909958
710,124.100239,-1.55,25.1470668
700,126.0000533,-1.2,29.31170206
690,124.100239,-0.6,22.09342755
680,118.7045103,-0.45,24.97028402
670,121.4024502,0.1,27.24058438
660,124.4169174,0.25,26.31429795
650,120.0651364,0.6,25.15285709
640,121.4024502,0.95,19.7178168
630,119.4893694,0.9,26.29037206
620,119.4893694,0.95,26.29037206
610,116.7737561,1.2,30.87181918
600,114.0581427,1.1,28.00075604
590,105.4774107,1.15,19.69068915
580,100.4797622,1.2,31.47364861
570,89.6169892,0.85,32.63295587
560,86.12474305,1.3,27.95153221
550,88.63629905,1.7,26.25425219
540,81.85160265,1.7,32.25652817
530,76.71038745,1.85,23.3844084
520,81.124804,1.6,11.02074519
510,84.12937065,1.65,12.1800363
500,78.12008625,1.55,22.3034352
490,81.124804,1.4,31.12983238
480,76.6178814,1.25,28.299918
470,72.110953,0.9,36.78981842
460,70.30013925,0.75,35.87648461
450,65.1948927,0.55,45.27971579
440,69.8974951,0.25,46.39406642
430,57.188864,-0.55,49.68026412
420,59.8915245,-1.45,47.06553991
410,52.50149305,-2.7,44.45081295
400,53.27248665,-2.85,49.68026412
390,56.78820225,-2.7,30.73176374
380,56.7627504,-2.5,30.73176374
370,48.24191581,-2.7,30.73176374
360,54.67426155,-2.7,30.73176374
350,57.8903618,-2.55,28.17083566
340,57.8903618,-1.9,25.60975366
330,59.1514709,-1.35,20.42236246
320,64.24650875,-1.2,19.41332236
310,62.43828185,-0.95,20.42236246
300,68.60773665,-0.55,17.8695096
290,64.32255635,0.15,19.11888526
280,64.32255635,0.25,23.5866432
270,64.1768618,0.6,23.5866432
260,58.1078369,0.85,26.20731315
250,64.32255635,1.15,24.64582412
240,66.94414055,1.25,27.72658951
230,65.7706599,1.45,26.92146137
220,63.908634,1.75,29.01330179
210,65.7706599,1.65,24.64582412
200,61.1602553,1.4,27.72658951
190,61.6265988,0.95,19.84644271
180,54.3322767,0.75,21.11395244
170,57.3711318,0.6,23.94813555
160,62.9110263,0.45,24.01168695
150,60.0513927,0.3,26.67975238
140,56.7366938,0.45,24.01168695
130,56.99684075,0.35,34.68365042
120,54.78002835,0.25,29.347668
110,57.12896635,0,40.01947876
100,54.40862665,0.1,45.06467955
90,59.8494632,0.1,25.03596598
80,62.26789695,0.05,32.54669655
70,56.41238215,-0.15,27.55026316
60,48.96779595,-0.65,20.03663745
50,51.68813565,-0.85,27.55026316
40,48.96779595,-0.8,27.55026316
30,50.39761565,-0.85,20.03663745
20,46.24730507,-0.6,27.55026316
10,40.29882796,-0.7,27.55026316
0,19.04299021,-0.2,17.53194299
