SiteID,Ac,slope,bf.d,bf.w,bf.w.d,bf.d.D50,CV_bf.d,CV_bf.w,D50,D84,vc.dist,ward.grp,Lat,Long
2017_18,55,0.0057,1.4,24.61,17.53,44,0.28,0.21,32,128,183.02,4,40.3360353,-124.0259752
2017_900,6,0.0305,1.35,7.44,5.53,60,0.25,0.3,23,64,35.4,5,40.35721815,-123.9634846
2017_139,33,0.0109,1.61,13.32,8.3,25,0.22,0.33,64,190,12.25,5,40.30885307,-124.0312548
2017_201,19,0.0661,1.08,9.4,8.72,6,0.28,0.37,190,2000,1.96,7,40.2891689,-123.9346797
2017_25,37,0.0069,1.17,15.72,13.45,26,0.17,0.18,45,128,39.98,4,40.13878729,-123.8075928
2017_140,42,0.0412,1.26,8.3,6.61,14,0.17,0.34,90,1000,39.75,5,39.95980966,-123.6503965
2017_183,37,0.01,1.17,12.05,10.33,36,0.39,0.38,32,1000,2.66,4,39.95370226,-123.6469577
2017_186,35,0.0095,1.2,13.14,10.93,19,0.29,0.18,64,1000,3.64,4,39.95082998,-123.6433894
2017_26,163,0.0011,1.35,32.52,24.09,60,0.25,0.07,23,64,139.81,4,40.06043075,-123.7374818
2017_80,33,0.0107,1.37,14.99,10.97,30,0.16,0.32,45,190,13.98,5,40.13818286,-123.778772
2017_81,39,0.0094,1.17,15.24,12.98,13,0.35,0.19,90,1000,10.79,3,39.84303194,-123.7030828
2017_902,39,0.0133,0.94,13.46,14.29,10,0.25,0.22,90,190,2.92,4,39.84227249,-123.7049989
2017_71,23,0.0057,1,8.14,8.12,31,0.24,0.26,32,128,23.27,5,39.83343806,-123.6138906
2017_78,99,0.0033,1.23,26.81,21.88,19,0.15,0.26,64,2000,11.33,4,39.82599629,-123.6517949
2017_95,638,0.0012,2.13,56.51,26.49,94,0.29,0.08,23,64,67.1,1,39.86631833,-123.719928
2017_143,96,0.0305,1.3,11.4,8.77,7,0.37,0.24,190,2000,4.88,4,39.83141866,-123.6440198
2017_17,98,0.006,1.26,7,5.55,79,0.25,0.25,16,32,501.27,6,39.73622297,-123.5150031
2017_171,17,0.0124,0.87,9.89,11.41,27,0.28,0.19,32,1000,33.46,4,39.95933182,-123.7668846
2017_344,31,0.0198,1.1,11.48,10.44,24,0.26,0.19,45,1000,58.72,4,39.93128302,-123.75475
2017_63,6,0.0036,1.16,6.32,5.44,51,0.37,0.09,23,128,29.5,5,39.67071244,-123.6683525
2017_127,7,0.0009,0.83,5.04,6.07,52,0.29,0.32,16,45,107.71,5,39.68848346,-123.6848601
2017_215,8,0.0046,1.03,9.55,9.28,46,0.3,0.28,23,90,57,5,39.67974062,-123.6573082
2017_265,6,0.0066,0.97,5.73,5.91,88,0.23,0.26,11,32,83.86,5,39.68662674,-123.6895334
2017_24,55,0.0044,1.09,14.67,13.52,24,0.27,0.12,45,1000,346.92,4,39.64763308,-123.6220684
2017_221,13,0.019,0.81,8.38,10.32,13,0.2,0.3,64,190,406.5,6,39.64582422,-123.6148856
2017_10,22,0.0087,0.69,9.15,13.36,21,0.18,0.14,32,190,29.73,4,39.80924874,-123.5543291
2017_327,352,0.0086,1.89,28.97,15.31,30,0.22,0.27,64,1000,60.64,4,39.8215096,-123.6549471
2017_66,10,0.0168,0.98,7.69,7.88,15,0.13,0.14,64,1000,6.61,5,39.72351539,-123.6567039
2017_99,324,0.0095,1.92,32.85,17.09,2,0.22,0.32,1000,2000,33.98,4,39.75781226,-123.6364987
2017_910,15,0.0228,1.2,13.46,11.23,13,0.2,0.09,90,1000,11.58,5,39.72653555,-123.6270511
2017_911,17,0.0191,1,11.93,11.95,11,0.5,0.05,90,1000,2.57,3,39.7306839,-123.6412202
2017_34,648,0.0043,2.72,45.1,16.57,60,0.17,0.18,45,128,76.11,1,39.87562748,-123.729709
2017_3,10,0.0054,0.78,7.59,9.75,24,0.22,0.12,32,128,52.85,5,39.68901542,-123.6740195
2017_64,5,0.0135,0.81,11.5,14.25,25,0.27,0.27,32,90,4.14,4,39.80877491,-123.5401719
2017_44,454,0.0004,1.98,38.65,19.49,88,0.32,0.21,23,190,25.51,1,39.82136237,-123.6696893
2017_92,467,0.0057,2.3,37.87,16.46,72,0.33,0.19,32,190,94.72,1,39.82736406,-123.678811
2017_46,1312,0.0015,2.56,53.2,20.78,160,0.54,0.22,16,45,180.65,1,40.12706999,-123.8236566
2017_55,1381,0.0008,2.71,53.21,19.63,120,0.23,0.23,23,45,35.94,1,40.1710865,-123.7825972
2017_47,1783,0.0006,2.77,65.32,23.61,86,0.57,0.23,32,64,131.61,1,40.35035643,-123.9304983
2017_52,1614,0.0007,2.23,53.58,24.01,140,0.42,0.15,16,45,197.76,1,40.28032707,-123.8894522
2017_125,18,0.0063,1.14,6.6,5.78,50,0.11,0.08,23,64,7,5,40.10017667,-123.9057265
2017_322,453,0.0062,2.1,41.87,19.96,16,0.47,0.26,128,1000,38.47,1,39.82230723,-123.6651964
2017_355,17,0.1108,2.01,12.6,6.28,11,0.4,0.48,190,2000,2.5,7,40.19305158,-123.763678
2017_301,8,0.0236,1,9.96,9.97,16,0.14,0.19,64,1000,8.91,5,39.81340219,-123.5926462
2017_209,4,0.094,1.2,7.24,6.03,27,0.28,0.24,45,1000,6.91,7,40.32008936,-124.0400896
2017_234,913,0.0006,2.94,61.35,20.84,92,0.33,0.24,32,128,134.27,1,40.03124355,-123.7848889
