FID,ET_ANGLE,ET_STATION,length_ft,,"FID (0->92, down to top)"
92,196.1013024,184,5.5107198,,
91,196.1013024,182,7.8340402,,
90,196.1013024,180,12.7060003,,
89,200.4722795,178,14.0080996,,
88,200.4722795,176,14.5909996,,
87,200.4722795,174,13.6833,,
86,200.4722795,172,15.7591,,
85,200.4722795,170,15.7591,,
84,200.4722795,168,14.0080996,,
83,205.2362636,166,15.3902998,,
82,205.2362636,164,16.3215008,,
81,205.2362636,162,16.3215008,,
80,205.2362636,160,14.5080004,,
79,205.2362636,158,12.6945,,
78,205.2362636,156,19.9484997,,
77,214.7960263,154,19.9761009,,
76,214.7960263,152,16.3703995,,
75,214.7960263,150,15.9808998,,
74,211.2061914,148,18.4214001,,
73,211.2061914,146,23.0597,,
72,211.2061914,144,19.1791992,,
71,211.2061914,142,16.5007,,
70,227.2394759,140,19.2334003,,
69,227.2394759,138,14.4969997,,
68,227.2394759,136,16.3847008,,
67,227.2394759,134,17.8743992,,
66,220.4711758,132,17.2665997,,
65,220.4711758,130,16.5044994,,
64,220.4711758,128,12.9382,,
63,220.4711758,126,17.2509003,,
62,220.4711758,124,17.2509003,,
61,220.3787486,122,20.2570992,,
60,220.3787486,120,18.3731995,,
59,220.3787486,118,12.9203997,,
58,220.3787486,116,20.6520004,,
57,220.3787486,114,21.4127007,,
56,220.3787486,112,18.3409004,,
55,220.3787486,110,17.2271996,,
54,220.3787486,108,21.1657009,,
53,220.3787486,106,15.3441,,
52,220.3787486,104,7.2314601,,
51,220.3787486,102,7.9921498,,
50,207.9454053,100,14.6348,,
49,207.9454053,98,20.4263992,,
48,207.9454053,96,18.5695,,
47,207.9454053,94,24.1403008,,
46,207.9454053,92,23.5410004,,
45,207.9454053,90,29.7110996,,
44,207.9454053,88,30.4423008,,
43,197.0377678,86,32.5985985,,
42,197.0377678,84,30.8829002,,
41,197.0377678,82,29.1672001,,
40,197.0377678,80,32.5985985,,
39,192.5288077,78,20.1651993,,
38,192.5288077,76,20.1651993,,
37,192.5288077,74,20.1651993,,
36,192.5288077,72,20.1651993,,
35,192.5288077,70,18.4848003,,
34,192.5288077,68,16.8043003,,
33,191.6737103,66,13.4005003,,
32,191.6737103,64,12.7384005,,
31,191.6737103,62,13.4005003,,
30,191.6737103,60,11.7254,,
29,197.4592026,58,12.5452003,,
28,197.4592026,56,15.4768,,
27,197.4592026,54,15.4768,,
26,197.4592026,52,17.1963997,,
25,215.7579872,50,16.1718006,,
24,215.7579872,48,18.1933002,,
23,215.7579872,46,17.6650009,,
22,215.7579872,44,19.0375996,,
21,215.7579872,42,16.1718006,,
20,215.7579872,40,18.1933002,,
19,198.6949884,38,13.0226002,,
18,198.6949884,36,13.8542995,,
17,198.6949884,34,15.7139997,,
16,200.4396792,32,15.7557001,,
15,200.4396792,30,17.5063992,,
14,200.4396792,28,15.7557001,,
13,200.4396792,26,22.7583008,,
12,200.4396792,24,19.257,,
11,200.4396792,22,26.2595005,,
10,176.9285379,20,29.5699997,,
9,176.9285379,18,16.4277992,,
8,176.9285379,16,21.3561001,,
7,183.4648506,14,18.0776005,,
6,183.4648506,12,13.1473999,,
5,183.4648506,10,18.0776005,,
4,183.4648506,8,18.0776005,,
3,183.4648506,6,13.1473999,,
2,183.4648506,4,18.0776005,,
1,183.4648506,2,18.0776005,,
0,183.4648506,0,11.5038996,,
