,raw_series,harmonic_1,harmonic_2,harmonic_3,harmonic_89,harmonic_92,harmonic_93,all_6_harmonics
92,19.04299021,-0.24254603988822127,-6.951767510583705,-0.3277077385207638,-0.48402104145415,-0.24254603988822115,0.0,63.18275220835111
91,40.29882796,-1.3149096462356018,-7.045243807446817,-0.7020531980446384,-0.8569546003795455,-1.314909646235602,0.0,60.666567099704444
90,46.24730507,-2.381273621455072,-7.010283451985471,-1.0476565171528174,-1.1676829284322836,-2.381273621455071,0.0,58.72451868603529
89,50.39761565,-3.4367723913090966,-6.8475237806981974,-1.3503686553543461,-1.3936506564287061,-3.4367723913090957,0.0,57.35141387438013
88,48.96779595,-4.476589957000179,-6.559931945309606,-1.5977965421440874,-1.518455077990246,-4.47658995700018,0.0,56.504339117767856
87,51.68813565,-5.495981869468778,-6.152750820812059,-1.7798104507653278,-1.5330368008763746,-5.4959818694687765,0.0,56.107993195686625
86,48.96779595,-6.490296877226168,-5.6334034264721025,-1.8889587104133874,-1.4363373566008377,-6.490296877226166,0.0,56.063233821244395
85,56.41238215,-7.454998148948184,-5.0113576022319,-1.9207727785138977,-1.2353760332959967,-7.454998148948186,0.0,56.257885463785435
84,62.26789695,-8.385683973995983,-4.297953407490586,-1.8739501833808305,-0.9447403546266016,-8.38568397399598,0.0,56.578607814766116
83,59.849463199999995,-9.278107846412098,-3.5061963888312264,-1.7504078475603555,-0.5855271902324836,-9.278107846412096,0.0,56.92251161963973
82,54.40862665,-10.128197840753165,-2.6505204854772595,-1.5552036087965693,-0.18381136112952526,-10.128197840753161,0.0,57.20724375922477
81,57.12896635,-10.93207519135176,-1.7465248947744652,-1.2963291515599866,0.23124709796925236,-10.932075191351759,0.0,57.37844239767392
80,54.78002835,-11.686071990234533,-0.8106896947100957,-0.9843828265463302,0.6295196280218023,-11.686071990234531,0.0,57.41376538991046
79,56.99684075,-12.38674792294499,0.13992459225435266,-0.632135752953796,0.9820961389589618,-12.386747922944988,0.0,57.32308669043038
78,56.7366938,-13.030905965909302,1.0879880170061942,-0.2540089673625361,1.2633835558927398,-13.030905965909302,0.0,57.14489189595538
77,60.0513927,-13.615606973721604,2.0162171333235013,0.13451697519733224,1.4529635874641904,-13.615606973721603,0.0,56.93933590415679
76,62.91102629999999,-14.138183089790362,2.9076900796570855,0.5175357769875485,1.537074863318892,-14.13818308979036,0.0,56.778804129267954
75,57.3711318,-14.596249919156076,3.7461550691285583,0.8793666032600226,1.5096118542593606,-14.596249919156074,0.0,56.737100986987826
74,54.3322767,-14.987717407938627,4.516326663890456,1.205196057473843,1.3725680647469178,-14.987717407938625,0.0,56.87854354179677
73,61.626598800000004,-15.31079937977374,5.204164432688707,1.4816846434901596,1.1358913269800361,-15.310799379773739,0.0,57.24824689391573
72,61.160255299999996,-15.564021685726056,5.797128911626633,1.6975128861114357,0.8167617005656722,-15.564021685726054,0.0,57.86475013000739
71,65.7706599,-15.74622893049262,6.284410201898237,1.8438447517260153,0.4383443941165325,-15.746228930492618,0.0,58.715863101366836
70,63.908634,-15.856589744206643,6.657125037093818,1.9146893965623712,0.028108232589565747,-15.856589744206639,0.0,59.75824535867826
69,65.7706599,-15.894600575787512,6.908478727489001,1.9071464325370124,-0.3841682693438613,-15.89460057578751,0.0,60.920801057885036
68,66.94414055,-15.860087990528903,7.033889029030058,1.8215246694833975,-0.7685584913297859,-15.8600879905289,0.0,62.111535987549246
67,64.32255635,-15.753209461441536,7.03106967885126,1.6613294724410705,-1.0971600421642442,-15.753209461441534,0.0,63.227124644102794
66,58.107836899999995,-15.574452650739959,6.900072074449784,1.4331192515990818,-1.3461201584386295,-15.574452650739955,0.0,64.16412163965222
65,64.1768618,-15.324633184751718,6.643284336695783,1.146236960212265,-1.4973671459184132,-15.324633184751717,0.0,64.83055825685598
64,64.32255635,-15.004890932401494,6.265387773759203,0.8124275929972333,-1.5399221805552652,-15.00489093240149,0.0,65.15661367827938
63,64.32255635,-14.616684804250626,5.773271539627476,0.4453573446687056,-1.4706962471864138,-14.616684804250623,0.0,65.10314725642162
62,68.60773665,-14.161786095822855,5.175907043011768,0.060054114322175306,-1.2947143671673407,-14.161786095822853,0.0,64.66711235522362
61,62.43828185,-13.642270405589109,4.484184396200552,-0.3277077385207638,-1.0247508385427042,-13.642270405589109,0.0,63.88321745932446
60,64.24650875,-13.060508164487729,3.710713885441067,-0.7020531980446385,-0.6804019662017666,-13.060508164487729,0.0,62.82161753670415
59,59.1514709,-12.419153820191791,2.8695960820958812,-1.0476565171528174,-0.2866635913422064,-12.41915382019179,0.0,61.581861016527085
58,57.8903618,-11.721133725473196,1.9761647855088866,-1.3503686553543457,0.12788332445327874,-11.721133725473194,0.0,60.28373532400451
57,57.8903618,-10.969632785926155,1.0467074837999741,-1.5977965421440874,0.533147354412273,-10.969632785926153,0.0,59.05599960523753
56,54.67426155,-10.168079927973457,0.09816842866187106,-1.7798104507653278,0.8997109044909173,-10.168079927973455,0.0,58.02422809586701
55,48.24191581,-9.32013245346167,-0.8521602628161346,-1.8889587104133871,1.200965598642168,-9.32013245346167,0.0,57.299085072240885
54,56.762750399999994,-8.429659352231635,-1.7869538480023817,-1.9207727785138977,1.41504374656732,-8.429659352231635,0.0,56.96630151276063
53,56.78820225,-7.50072364880523,-2.6891707933492617,-1.8739501833808312,1.5264056911940196,-7.500723648805228,0.0,57.079430273626414
