,X,Y,Z,Label
0,100.0,100.0,600.079,CL
1,100.192,99.922,600.0830000000001,CL
2,100.385,99.845,600.086,CL
3,100.577,99.767,600.0889999999999,CL
4,100.77,99.689,600.092,CL
5,100.962,99.612,600.096,CL
6,101.155,99.534,600.0989999999999,CL
7,101.347,99.456,600.102,CL
8,101.54,99.379,600.108,CL
9,101.732,99.301,600.108,CL
10,101.925,99.223,600.111,CL
11,102.117,99.146,600.115,CL
12,102.31,99.068,600.118,CL
13,102.502,98.991,600.121,CL
14,102.695,98.913,600.124,CL
15,102.887,98.836,600.126,CL
16,103.08,98.758,600.129,CL
17,103.272,98.681,600.132,CL
18,103.465,98.604,600.135,CL
19,103.658,98.526,600.138,CL
20,103.85,98.449,600.14,CL
21,104.043,98.372,600.143,CL
22,104.236,98.294,600.145,CL
23,104.428,98.217,600.149,CL
24,104.621,98.14,600.15,CL
25,104.814,98.063,600.152,CL
26,105.006,97.986,600.154,CL
27,105.199,97.909,600.156,CL
28,105.392,97.832,600.158,CL
29,105.585,97.755,600.1600000000001,CL
30,105.777,97.679,600.162,CL
31,105.97,97.602,600.163,CL
32,106.163,97.525,600.165,CL
33,106.356,97.448,600.1659999999999,CL
34,106.549,97.372,600.168,CL
35,106.742,97.295,600.1690000000001,CL
36,106.935,97.219,600.1700000000001,CL
37,107.128,97.143,600.171,CL
38,107.321,97.066,600.172,CL
39,107.514,96.99,600.173,CL
40,107.707,96.914,600.173,CL
41,107.9,96.838,600.174,CL
42,108.093,96.762,600.174,CL
43,108.286,96.686,600.174,CL
44,108.48,96.61,600.174,CL
45,108.673,96.535,600.174,CL
46,108.866,96.459,600.174,CL
47,109.059,96.384,600.173,CL
48,109.253,96.308,600.173,CL
49,109.446,96.233,600.172,CL
50,109.64,96.158,600.171,CL
51,109.833,96.083,600.1700000000001,CL
52,110.027,96.008,600.1690000000001,CL
53,110.22,95.93299999999999,600.168,CL
54,110.414,95.858,600.1659999999999,CL
55,110.607,95.783,600.165,CL
56,110.801,95.708,600.163,CL
57,110.995,95.634,600.1610000000001,CL
58,111.189,95.56,600.159,CL
59,111.382,95.485,600.1569999999999,CL
60,111.576,95.411,600.154,CL
61,111.77,95.337,600.152,CL
62,111.964,95.263,600.149,CL
63,112.158,95.19,600.146,CL
64,112.352,95.116,600.143,CL
65,112.54599999999999,95.042,600.14,CL
66,112.74,94.969,600.136,CL
67,112.935,94.896,600.133,CL
68,113.129,94.823,600.129,CL
69,113.32300000000001,94.75,600.125,CL
70,113.517,94.677,600.121,CL
71,113.712,94.604,600.117,CL
72,113.906,94.532,600.112,CL
73,114.101,94.459,600.108,CL
74,114.295,94.387,600.1030000000001,CL
75,114.49,94.315,600.098,CL
76,114.685,94.243,600.0930000000001,CL
77,114.879,94.171,600.088,CL
78,115.074,94.099,600.082,CL
79,115.269,94.028,600.077,CL
80,115.464,93.956,600.0709999999999,CL
81,115.659,93.885,600.065,CL
82,115.854,93.814,600.059,CL
83,116.049,93.743,600.0530000000001,CL
84,116.244,93.673,600.046,CL
85,116.439,93.602,600.04,CL
86,116.634,93.532,600.033,CL
87,116.83,93.461,600.027,CL
88,117.025,93.391,600.02,CL
89,117.22,93.322,600.013,CL
90,117.416,93.252,600.005,CL
91,117.612,93.182,599.998,CL
92,117.807,93.113,599.991,CL
93,118.003,93.044,599.983,CL
94,118.199,92.975,599.975,CL
95,118.394,92.906,599.9680000000001,CL
96,118.59,92.838,599.96,CL
97,118.786,92.769,599.952,CL
98,118.982,92.701,599.943,CL
99,119.178,92.633,599.935,CL
100,119.374,92.565,599.9269999999999,CL
101,119.571,92.497,599.918,CL
102,119.767,92.43,599.9100000000001,CL
103,119.963,92.363,599.9010000000001,CL
104,120.16,92.296,599.892,CL
105,120.356,92.229,599.883,CL
106,120.553,92.162,599.874,CL
107,120.749,92.096,599.865,CL
108,120.946,92.03,599.856,CL
109,121.143,91.964,599.847,CL
110,121.34,91.898,599.837,CL
111,121.537,91.832,599.828,CL
112,121.73400000000001,91.767,599.819,CL
113,121.931,91.702,599.809,CL
114,122.128,91.637,599.8,CL
115,122.325,91.572,599.79,CL
116,122.52199999999999,91.508,599.78,CL
117,122.72,91.444,599.771,CL
118,122.917,91.38,599.761,CL
119,123.115,91.316,599.751,CL
120,123.312,91.252,599.742,CL
121,123.51,91.189,599.732,CL
122,123.708,91.126,599.722,CL
123,123.905,91.063,599.712,CL
124,124.10300000000001,91.001,599.702,CL
125,124.301,90.938,599.692,CL
126,124.499,90.876,599.682,CL
127,124.697,90.814,599.672,CL
128,124.896,90.753,599.663,CL
129,125.094,90.691,599.653,CL
130,125.292,90.63,599.643,CL
131,125.491,90.569,599.633,CL
132,125.689,90.509,599.623,CL
133,125.888,90.44800000000001,599.613,CL
134,126.086,90.388,599.6030000000001,CL
135,126.285,90.328,599.594,CL
136,126.48400000000001,90.269,599.5840000000001,CL
137,126.683,90.209,599.5740000000001,CL
138,126.882,90.15,599.565,CL
139,127.081,90.09100000000001,599.5550000000001,CL
140,127.28,90.033,599.5450000000001,CL
141,127.479,89.974,599.5360000000001,CL
142,127.678,89.916,599.5260000000001,CL
143,127.878,89.859,599.517,CL
144,128.077,89.801,599.508,CL
145,128.277,89.744,599.499,CL
146,128.476,89.687,599.489,CL
147,128.676,89.63,599.48,CL
148,128.876,89.574,599.471,CL
149,129.076,89.518,599.462,CL
150,129.276,89.462,599.453,CL
151,129.476,89.407,599.4449999999999,CL
152,129.676,89.351,599.4359999999999,CL
153,129.876,89.297,599.4269999999999,CL
154,130.076,89.242,599.4190000000001,CL
155,130.276,89.188,599.4100000000001,CL
156,130.477,89.133,599.402,CL
157,130.677,89.08,599.394,CL
158,130.878,89.026,599.386,CL
159,131.078,88.973,599.378,CL
160,131.279,88.92,599.37,CL
161,131.48,88.868,599.362,CL
162,131.68099999999998,88.815,599.354,CL
163,131.882,88.763,599.347,CL
164,132.083,88.712,599.3399999999999,CL
165,132.284,88.66,599.332,CL
166,132.485,88.60900000000001,599.325,CL
167,132.686,88.55799999999999,599.318,CL
168,132.888,88.508,599.3109999999999,CL
169,133.089,88.458,599.3040000000001,CL
170,133.291,88.408,599.298,CL
171,133.492,88.358,599.2909999999999,CL
172,133.69400000000002,88.309,599.2850000000001,CL
173,133.89600000000002,88.26,599.279,CL
174,134.098,88.212,599.273,CL
175,134.3,88.164,599.267,CL
176,134.501,88.116,599.261,CL
177,134.704,88.068,599.255,CL
178,134.906,88.021,599.25,CL
179,135.108,87.974,599.244,CL
180,135.31,87.92699999999999,599.239,CL
181,135.513,87.881,599.234,CL
182,135.715,87.83500000000001,599.229,CL
183,135.918,87.789,599.2239999999999,CL
184,136.12,87.744,599.219,CL
185,136.323,87.699,599.2149999999999,CL
186,136.526,87.655,599.21,CL
187,136.728,87.61,599.2059999999999,CL
