Station_m,Wbf_half_m,Zd_m,Wbase_half_m
0,18.993,0.374,2.508
2,19,0.361,2.502
4,18.757,0.357,2.495
6,18.049,0.349,2.488
8,17.992,0.266,2.481
10,17.505,0.198,2.475
12,17.472,0.105,1.922
14,17.957,0.082,2.436
16,17.175,0.115,2.988
18,17.053,0.151,3.028
20,16.578,0.188,3.266
22,16.521,0.24,3.046
24,16.062,0.351,3.087
26,15.525,0.368,3.522
28,15.732,0.566,3.512
30,16.367,0.481,3.036
32,16.052,0.523,3
34,16.042,0.513,3.914
36,16.074,0.496,3.354
38,16.097,0.435,2.91
40,16.141,0.407,2.8
42,16.171,0.474,2.948
44,16.161,0.54,3.564
46,16.151,0.555,6.009
48,15.682,0.442,7.035
50,15.662,0.325,4.643
52,15.641,0.243,4.512
54,15.621,0.258,4.285
56,15.541,0.257,3.247
58,15.531,0.301,2.952
60,15.154,0.333,3.421
62,14.781,0.342,3.47
64,14.409,0.349,3.011
66,13.726,0.333,3.01
68,13.304,0.367,3.009
70,13.253,0.321,3.009
72,13.183,0.281,3.008
74,12.691,0.289,3.499
76,12.603,0.252,4.583
78,12.335,0.234,5.517
80,12.438,0.179,6.121
82,13.084,0.135,6.717
84,13.776,0.01,7.528
86,14.097,-0.16,7.524
88,14.387,-0.254,7.655
90,14.519,-0.272,8.859
92,16.114,-0.3,10.868
94,17.123,-0.457,11.209
96,17.499,-0.523,11.396
98,17.589,-0.673,11.381
100,18.106,-0.892,11.885
102,17.516,-1.069,11.328
104,17.794,-1.249,11.316
106,18.213,-1.323,12.336
108,19.211,-1.251,12.785
110,18.911,-1.057,13.142
112,19.154,-0.925,12.8
114,19.686,-0.778,12.51
116,19.459,-0.615,12.526
118,19.441,-0.512,12.725
120,19.588,-0.45,13.24
122,19.701,-0.41,13.514
124,19.436,-0.403,13.653
126,19.503,-0.536,13.566
128,19.482,-0.591,13.046
130,19.546,-0.516,12.482
132,19.785,-0.323,12.132
134,19.784,-0.101,12.507
136,19.448,0.124,12.489
138,19.654,0.266,11.893
140,19.698,0.343,11.598
142,19.567,0.512,11.386
144,19.784,0.713,11.024
146,19.703,0.897,11.099
148,19.177,1.04,10.687
150,19.038,1.104,10.876
152,19.544,1.081,10.413
154,20.107,1.209,10.473
156,19.438,1.279,9.367
158,18.366,1.229,9.382
160,17.756,1.076,7.119
162,18.436,1.019,5.379
164,19.251,0.873,4.423
166,19.061,0.845,4.379
168,19.17,0.834,4.681
170,19.254,0.866,4.947
172,19.295,0.913,5.451
174,19.855,0.901,6.076
176,20.162,0.792,5.285
178,20.543,0.722,2.208
180,21.324,0.611,2.48
182,21.465,0.439,2.39
184,21.374,0.233,6.353
186,21.42,0.125,8.834
188,20.871,0.186,9.054
190,19.528,0.112,9.15
192,18.391,-0.134,9.867
194,16.382,-0.433,9.228
196,15.353,-0.708,8.479
198,14.899,-0.781,8.381
200,14.259,-0.869,7.794
202,13.138,-1.11,7.364
204,12.065,-1.488,7.93
206,12.953,-1.606,7.293
208,13.135,-1.774,7.484
210,13.161,-1.951,6.622
212,13.654,-1.937,7.239
214,14.901,-1.958,7.02
216,15.644,-2.08,7.961
218,16.637,-2.076,8.38
220,17.482,-2.151,9.197
222,17.69,-2.054,9.11
224,19.391,-1.812,8.792
226,18.344,-1.86,9.9
228,18.973,-1.751,10.005
230,19.006,-1.566,10.266
232,19.172,-1.537,10.557
234,18.454,-1.256,9.776
236,18.036,-1.223,9.445
238,18.541,-1.468,10.445
240,18.125,-1.536,10.725
242,18.513,-1.05,11.029
244,18.552,-0.442,11.755
246,18.275,-0.408,11.571
248,18.31,-0.471,11.127
250,19.457,-0.533,10.837
252,19.528,-0.634,10.429
254,20.397,-0.761,8.546
256,20.531,-0.581,8.746
258,20.698,-0.483,9.066
260,20.59,-0.395,8.961
262,20.565,-0.223,9.699
264,20.282,-0.212,10.931
266,19.657,-0.327,11.776
268,19.66,-0.454,12.052
270,18.851,-0.542,12.765
272,18.542,-0.429,13.053
274,17.966,-0.224,13.549
276,17.65,-0.065,13.053
278,17.941,0.109,13.01
280,18.178,0.225,12.997
282,18.54,0.356,12.741
284,18.724,0.397,12.849
286,19.172,0.452,12.44
288,19.681,0.554,11.921
290,20.603,0.713,11.409
292,20.592,0.886,11.703
294,20.582,1.005,11.657
296,20.114,1.103,10.061
298,19.75,1.383,8.489
300,19.526,1.607,7.616
302,18.933,1.736,7.2
304,18.267,1.775,7.348
306,18.096,1.777,7.109
308,12.008,1.851,6.975
