Station_m,Zd_m,Wbase_half_m,Wbf_half_m
0,0.0608,10.226,33.9187
5,0.0254,10.701,34.5314
10,-0.053,11.514,34.5276
15,-0.1834,10.921,34.0273
20,-0.4117,10.183,34.0238
25,-0.3002,10.003,34.0084
30,-0.1585,10.074,33.8003
35,-0.133,10.164,34.5393
40,-0.1023,10.522,35.0161
45,-0.0277,15.454,36.0156
50,0.1499,16.028,36.5498
55,0.0945,16.199,36.7097
60,0.048,17.228,36.4948
65,0.1167,17.935,35.4945
70,0.0952,18.188,34.7425
75,0.1409,18.766,33.5666
80,0.2595,19.070,32.3866
85,0.1731,18.911,31.471
90,-0.4403,16.331,30.9387
95,-0.6628,13.320,30.5061
100,-0.7441,11.986,30.5112
105,-0.8016,11.472,31.0236
110,-0.6899,12.946,30.5149
115,-0.5864,10.422,30.5133
120,-0.3587,9.440,30.0137
125,-0.2082,9.510,29.6056
130,0.0225,9.857,29.1137
135,0.2541,10.384,29.0251
140,0.3556,10.965,28.5741
145,0.5163,11.323,28.632
150,0.5798,19.038,27.8049
155,0.5815,19.106,27.3759
160,0.539,18.637,26.7751
165,0.5987,19.741,26.1642
170,0.3903,19.140,25.376
175,0.4189,14.044,24.6251
180,0.1765,14.528,24.131
185,0.04,11.462,24.1187
190,-0.0213,11.673,23.2637
195,-0.1128,11.416,22.6338
200,-0.2401,13.024,22.7369
205,-0.3705,12.999,22.0615
210,-0.3399,12.045,22.2735
215,-0.3293,12.571,22.4003
220,-0.3797,12.733,22.9033
225,-0.6791,12.809,22.9155
230,-0.8876,13.904,22.8178
235,-1.1509,13.631,22.8322
240,-1.0544,13.010,22.8851
245,-0.4517,15.050,22.9175
250,-0.3012,15.526,22.8903
255,-0.1615,14.483,22.8923
260,-0.119,14.080,23.5402
265,0.0147,13.054,23.6103
270,0.1033,13.831,24.071
275,0.0829,13.335,24.1253
280,0.0054,11.753,24.8296
285,0.078,10.381,25.0194
290,0.1987,10.449,25.3446
295,0.2513,11.717,25.383
300,0.3369,11.967,25.7245
305,0.4225,11.909,25.4241
310,0.5921,13.526,26.074
315,0.5447,16.003,26.8994
320,0.5682,19.634,27.1869
325,0.5829,18.568,28.1992
330,0.7595,20.730,29.9872
335,0.875,20.770,31.7263
340,0.9026,19.059,33.1187
345,0.8963,20.099,33.868
350,0.7868,21.215,34.7624
355,0.7155,20.673,34.0626
360,0.663,19.330,34.0114
365,0.5816,16.071,33.7771
370,0.3822,11.072,34.4857
375,0.1618,11.744,34.4987
380,-0.0655,21.015,34.0357
385,-0.2039,20.623,33.5117
390,-0.3714,16.791,33.9823
395,-0.3637,17.096,33.7282
400,-0.2751,15.059,33.7883
405,-0.2255,18.886,34.1107
410,-0.047,11.988,33.5458
415,0.0276,9.547,33.235
420,0.1642,8.614,32.8692
425,0.2349,9.561,32.4196
430,-0.0066,11.150,32.526
435,-0.207,15.560,32.5072
440,-0.3773,18.000,32.2773
445,-0.4617,17.823,32.2794
450,-0.3672,18.939,32.497
455,-0.2826,19.888,32.5203
460,-0.1909,20.514,32.4787
465,-0.4654,20.223,32.0825
470,-0.1437,18.655,31.9671
475,-0.2602,19.097,32.2307
480,-0.2876,22.319,33.7224
485,-0.1979,14.531,34.2416
490,-0.0653,16.336,34.7661
495,0.1142,13.429,34.8859
500,0.2388,12.068,34.8479
505,0.4104,11.942,34.9009
510,0.607,11.671,35.2379
515,0.8317,12.865,35.1869
520,0.8723,17.163,35.6203
525,0.9859,11.956,35.528
530,1.0235,12.669,35.4837
535,0.9681,13.543,35.3292
540,0.8976,13.495,34.6859
545,0.8092,14.256,33.6204
550,0.5129,14.407,32.8174
555,0.4004,11.878,32.0991
560,0.0901,11.431,31.932
565,-0.1613,11.120,31.5044
570,-0.2117,11.000,31.4837
575,-0.0942,12.166,31.4627
580,0.0295,13.633,30.9095
585,-0.0059,13.810,30.4054
590,-0.1374,13.860,30.3143
595,-0.1347,13.599,30.8161
600,-0.2282,14.245,31.255
605,-0.7945,14.539,31.7538
610,-1.067,15.060,32.6796
615,-0.8843,15.056,33.6725
620,-0.9367,13.534,33.5523
625,-1.6941,13.220,32.9072
630,-1.4736,12.483,31.8468
635,-0.574,12.969,31.8759
640,0.2627,13.562,30.6241
